model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_02,-14.75822017,13.20854233,-1.11732391,0.26385586,-40.64696314,11.13052279,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_03,28.96539484,14.49002650,1.99898840,0.04560961,0.56494290,57.36584678,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_04,6.40959664,20.89359740,0.30677324,0.75901598,-34.54185426,47.36104754,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_05,-15.82130247,17.37145719,-0.91076427,0.36241959,-49.86935856,18.22675362,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_06,-20.18275195,22.12535294,-0.91220023,0.36166333,-63.54844371,23.18293982,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_07,-18.38478957,25.06289661,-0.73354608,0.46322543,-67.50806693,30.73848779,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_08,-51.69979590,23.29329618,-2.21951395,0.02645178,-97.35465641,-6.04493539,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_09,-30.75665513,27.58113026,-1.11513396,0.26479302,-84.81567043,23.30236018,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_10,5.45674260,40.08303728,0.13613596,0.89171380,-73.10601047,84.01949568,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_11,11.45452549,21.97059634,0.52135706,0.60211806,-31.60784333,54.51689431,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_12,-53.70059110,24.60717705,-2.18231417,0.02908635,-101.93065813,-5.47052408,84,0.62651684,8.26766331,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,Intercept,107.39465356,19.10257834,5.62199781,0.00000002,69.95360001,144.83570711,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,Time,-0.16943146,0.22880556,-0.74050414,0.45899415,-0.61789035,0.27902743,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,PostJuly2024,10.67012968,46.31011196,0.23040604,0.81777627,-80.09768976,101.43794911,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,TimeAfterJuly2024,10.89301503,4.64343338,2.34589670,0.01898137,1.79188561,19.99414445,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_02,5.83824541,18.12148607,0.32217255,0.74732198,-29.67986728,41.35635810,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_03,24.32016897,23.62783324,1.02930170,0.30333792,-21.99038418,70.63072213,84,0.49486175,4.82830498,3,OLS Newey-West HAC,2019-01 through 2025-12
