month,month_start,time,post_july2024,time_after_july2024,month_of_year,all_count,high_sensitivity_count,lower_sensitivity_count,low_strict_count,hs_wes_wgs_sequence_count,hs_s3_direct_count,hs_s3_text_count,hs_o2_field_count,classified_denom_high_lower,high_sensitivity_share_all,low_share_all,index_high_pre_mean,index_lower_pre_mean,index_diff_pre_mean,index_high_2023_mean,index_lower_2023_mean,index_diff_2023_mean
2022-04,2022-04-01,40,0,0,4,59,13,46,9,9,0,6,0,59,0.22033898,0.15254237,164.36781609,104.61750517,59.75031092,154.45544554,86.11544462,68.34000093
2022-05,2022-05-01,41,0,0,5,66,8,58,11,3,0,5,0,66,0.12121212,0.16666667,101.14942529,131.90902826,-30.75960297,95.04950495,108.58034321,-13.53083826
2022-06,2022-06-01,42,0,0,6,46,10,36,13,7,0,3,0,46,0.21739130,0.28260870,126.43678161,81.87456926,44.56221235,118.81188119,67.39469579,51.41718540
2022-07,2022-07-01,43,0,0,7,53,7,46,14,4,0,3,0,53,0.13207547,0.26415094,88.50574713,104.61750517,-16.11175804,83.16831683,86.11544462,-2.94712779
2022-08,2022-08-01,44,0,0,8,73,10,63,15,7,0,3,0,73,0.13698630,0.20547945,126.43678161,143.28049621,-16.84371460,118.81188119,117.94071763,0.87116356
2022-09,2022-09-01,45,0,0,9,94,12,82,21,6,0,8,0,94,0.12765957,0.22340426,151.72413793,186.49207443,-34.76793650,142.57425743,153.51014041,-10.93588298
2022-10,2022-10-01,46,0,0,10,35,5,30,4,0,0,5,0,35,0.14285714,0.11428571,63.21839080,68.22880772,-5.01041691,59.40594059,56.16224649,3.24369410
2022-11,2022-11-01,47,0,0,11,74,10,64,18,3,0,7,0,74,0.13513514,0.24324324,126.43678161,145.55478980,-19.11800819,118.81188119,119.81279251,-1.00091132
2022-12,2022-12-01,48,0,0,12,72,9,63,12,3,0,6,0,72,0.12500000,0.16666667,113.79310345,143.28049621,-29.48739276,106.93069307,117.94071763,-11.01002456
2023-01,2023-01-01,49,0,0,1,58,7,51,11,3,0,5,0,58,0.12068966,0.18965517,88.50574713,115.98897312,-27.48322600,83.16831683,95.47581903,-12.30750220
2023-02,2023-02-01,50,0,0,2,49,7,42,11,2,0,5,0,49,0.14285714,0.22448980,88.50574713,95.52033081,-7.01458368,83.16831683,78.62714509,4.54117175
2023-03,2023-03-01,51,0,0,3,73,7,66,13,1,0,7,0,73,0.09589041,0.17808219,88.50574713,150.10337698,-61.59762985,83.16831683,123.55694228,-40.38862545
2023-04,2023-04-01,52,0,0,4,58,7,51,7,2,0,5,0,58,0.12068966,0.12068966,88.50574713,115.98897312,-27.48322600,83.16831683,95.47581903,-12.30750220
2023-05,2023-05-01,53,0,0,5,63,8,55,13,3,0,5,0,63,0.12698413,0.20634921,101.14942529,125.08614748,-23.93672220,95.04950495,102.96411856,-7.91461361
2023-06,2023-06-01,54,0,0,6,76,15,61,7,8,0,7,0,76,0.19736842,0.09210526,189.65517241,138.73190903,50.92326339,178.21782178,114.19656786,64.02125392
2023-07,2023-07-01,55,0,0,7,62,6,56,17,3,0,3,0,62,0.09677419,0.27419355,75.86206897,127.36044108,-51.49837211,71.28712871,104.83619345,-33.54906473
2023-08,2023-08-01,56,0,0,8,58,7,51,11,1,0,6,0,58,0.12068966,0.18965517,88.50574713,115.98897312,-27.48322600,83.16831683,95.47581903,-12.30750220
