field_id,field_title,main_category,item_type,field_tier,debut,private
31008,Native Schaefer7n1000p dMRI,201,20,o2 s3,2023-09-10T00:00:00,0
31009,Native aparc a2009s SF,202,20,o2 s3,2023-09-10T00:00:00,0
31010,Native aparc SF,202,20,o2 s3,2023-09-10T00:00:00,0
31011,Native Glasser SF,202,20,o2 s3,2023-09-10T00:00:00,0
31012,Native Schaefer7n100p to 1000p SF,202,20,o2 s3,2023-09-10T00:00:00,0
31013,Native Tian Subcortex S1 to S4 3T,202,20,o2 s3,2023-09-10T00:00:00,0
31219,PANDORA: included in DTI FA,539,0,o2 s3,2025-08-28T00:00:00,0
31220,PANDORA: included in DTI L1,539,0,o2 s3,2025-08-28T00:00:00,0
31221,PANDORA: included in DTI L2,539,0,o2 s3,2025-08-28T00:00:00,0
31222,PANDORA: included in DTI L3,539,0,o2 s3,2025-08-28T00:00:00,0
31223,PANDORA: included in DTI MD,539,0,o2 s3,2025-08-28T00:00:00,0
31224,PANDORA: included in DTI MO,539,0,o2 s3,2025-08-28T00:00:00,0
31225,PANDORA: included in NODDI ICVF,539,0,o2 s3,2025-08-28T00:00:00,0
31226,PANDORA: included in NODDI ISOVF,539,0,o2 s3,2025-08-28T00:00:00,0
31227,PANDORA: included in NODDI OD,539,0,o2 s3,2025-08-28T00:00:00,0
31228,PANDORA: included in RSN d25,539,0,o2 s3,2025-08-28T00:00:00,0
31229,PANDORA: included in RSN d50,539,0,o2 s3,2025-08-28T00:00:00,0
31230,PANDORA: included in SWI QSM,539,0,o2 s3,2025-08-28T00:00:00,0
31231,PANDORA: included in SWI T2star,539,0,o2 s3,2025-08-28T00:00:00,0
31232,PANDORA: included in T1,539,0,o2 s3,2025-08-28T00:00:00,0
31233,PANDORA: included in T1 VBM,539,0,o2 s3,2025-08-28T00:00:00,0
31234,PANDORA: included in T2 FLAIR,539,0,o2 s3,2025-08-28T00:00:00,0
31235,PANDORA: included in T2 FLAIR lesions,539,0,o2 s3,2025-08-28T00:00:00,0
31236,PANDORA: included in dMRI tracts,539,0,o2 s3,2025-08-28T00:00:00,0
31237,PANDORA: included in tfMRI cope1,539,0,o2 s3,2025-08-28T00:00:00,0
31238,PANDORA: included in tfMRI cope2,539,0,o2 s3,2025-08-28T00:00:00,0
31239,PANDORA: included in tfMRI cope5,539,0,o2 s3,2025-08-28T00:00:00,0
31240,PANDORA: included in tfMRI zstat1,539,0,o2 s3,2025-08-28T00:00:00,0
31241,PANDORA: included in tfMRI zstat2,539,0,o2 s3,2025-08-28T00:00:00,0
31242,PANDORA: included in tfMRI zstat5,539,0,o2 s3,2025-08-28T00:00:00,0
31243,PANDORA: included in warpfield jacobian,539,0,o2 s3,2025-08-28T00:00:00,0
31244,PANDORA: included in globals,539,0,o2 s3,2025-08-28T00:00:00,0
32136,Surface-based analysis of resting and task fMRI - CIFTI,198,20,o2 s3,2024-03-14T00:00:00,0
1020158,EMBARGOED UNLINKED : DXA images,1000,20,o2 s3,2023-05-26T00:00:00,1
1020201,EMBARGOED UNLINKED : Dixon technique for internal fat - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020202,EMBARGOED UNLINKED : Pancreatic fat - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020203,EMBARGOED UNLINKED : Liver imaging - gradient echo - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020204,EMBARGOED UNLINKED : Liver Imaging - T1 ShMoLLI - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020206,EMBARGOED UNLINKED : Measurements of pancreas volume - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020207,EMBARGOED UNLINKED : Scout images for heart MRI - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020208,EMBARGOED UNLINKED : Long axis heart images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020209,EMBARGOED UNLINKED : Short axis heart images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020210,EMBARGOED UNLINKED : Aortic distensibilty images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020211,EMBARGOED UNLINKED : Cine tagging images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020212,EMBARGOED UNLINKED : Left ventricular outflow tract images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020213,EMBARGOED UNLINKED : Blood flow images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020214,EMBARGOED UNLINKED : Experimental shMOLLI sequence images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020215,EMBARGOED UNLINKED : Scout images for brain scans - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020216,EMBARGOED UNLINKED : T1 structural brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020217,EMBARGOED UNLINKED : Functional brain images - task - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020218,EMBARGOED UNLINKED : Multiband diffusion brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020219,EMBARGOED UNLINKED : Susceptibility weighted brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020220,EMBARGOED UNLINKED : T2 FLAIR structural brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020221,EMBARGOED UNLINKED : T2/PD brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020222,EMBARGOED UNLINKED : Carotid artery ultrasound image (left),1000,20,o2 s3,2023-05-26T00:00:00,1
1020223,EMBARGOED UNLINKED : Carotid artery ultrasound image (right),1000,20,o2 s3,2023-05-26T00:00:00,1
1020224,EMBARGOED UNLINKED : Phoenix - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020225,EMBARGOED UNLINKED : Functional brain images - resting - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020226,EMBARGOED UNLINKED : Carotid artery ultrasound report,1000,20,o2 s3,2023-05-26T00:00:00,1
1020227,EMBARGOED UNLINKED : Functional brain images - resting - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1020241,EMBARGOED UNLINKED : Raw carotid device data,1000,20,o2 s3,2023-05-26T00:00:00,1
1020249,EMBARGOED UNLINKED : Functional brain images - task - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1020250,EMBARGOED UNLINKED : Multiband diffusion brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1020251,EMBARGOED UNLINKED : Susceptibility weighted brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1020252,EMBARGOED UNLINKED : T1 structural brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1020253,EMBARGOED UNLINKED : T2 FLAIR structural brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1020254,EMBARGOED UNLINKED : Liver imaging - IDEAL protocol - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020259,EMBARGOED UNLINKED : Pancreas Images - ShMoLLI - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020260,EMBARGOED UNLINKED : Pancreas Images - gradient echo - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020263,EMBARGOED UNLINKED : T1 surface model files and additional structural segmentations,1000,20,o2 s3,2023-05-26T00:00:00,1
1020264,EMBARGOED UNLINKED : Kidney Imaging - gradient echo - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020265,EMBARGOED UNLINKED : Kidney Imaging - T2 haste - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020266,EMBARGOED UNLINKED : Arterial spin labelling brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1020267,EMBARGOED UNLINKED : Kidney imaging - T1 Vibe - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
1025747,EMBARGOED UNLINKED : Eprime advisor file,1000,20,o2 s3,2023-05-26T00:00:00,1
1025748,EMBARGOED UNLINKED : Eprime txt file,1000,20,o2 s3,2023-05-26T00:00:00,1
1025749,EMBARGOED UNLINKED : Eprime ed2 file,1000,20,o2 s3,2023-05-26T00:00:00,1
1025750,"EMBARGOED UNLINKED : rfMRI full correlation matrix, dimension 25",1000,20,o2 s3,2023-05-26T00:00:00,1
1025751,"EMBARGOED UNLINKED : rfMRI full correlation matrix, dimension 100",1000,20,o2 s3,2023-05-26T00:00:00,1
1025752,"EMBARGOED UNLINKED : rfMRI partial correlation matrix, dimension 25",1000,20,o2 s3,2023-05-26T00:00:00,1
1025753,"EMBARGOED UNLINKED : rfMRI partial correlation matrix, dimension 100",1000,20,o2 s3,2023-05-26T00:00:00,1
1025754,"EMBARGOED UNLINKED : rfMRI component amplitudes, dimension 25",1000,20,o2 s3,2023-05-26T00:00:00,1
1025755,"EMBARGOED UNLINKED : rfMRI component amplitudes, dimension 100",1000,20,o2 s3,2023-05-26T00:00:00,1
1026300,EMBARGOED UNLINKED : Arterial spin labelling brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1026301,EMBARGOED UNLINKED : Quantitative susceptibility mapping images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
1030005,EMBARGOED UNLINKED : Carotid Artery Ultrasound (MAT format),1000,20,o2 s3,2024-04-15T00:00:00,1
1032136,EMBARGOED UNLINKED : Surface-based analysis of resting and task fMRI,1000,20,o2 s3,2024-04-15T00:00:00,1
2020158,EMBARGOED LINKED : DXA images,1000,20,o2 s3,2023-05-26T00:00:00,1
2020201,EMBARGOED LINKED : Dixon technique for internal fat - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020202,EMBARGOED LINKED : Pancreatic fat - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020203,EMBARGOED LINKED : Liver imaging - gradient echo - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020204,EMBARGOED LINKED : Liver Imaging - T1 ShMoLLI - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020206,EMBARGOED LINKED : Measurements of pancreas volume - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020207,EMBARGOED LINKED : Scout images for heart MRI - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020208,EMBARGOED LINKED : Long axis heart images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020209,EMBARGOED LINKED : Short axis heart images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020210,EMBARGOED LINKED : Aortic distensibilty images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020211,EMBARGOED LINKED : Cine tagging images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020212,EMBARGOED LINKED : Left ventricular outflow tract images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020213,EMBARGOED LINKED : Blood flow images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020214,EMBARGOED LINKED : Experimental shMOLLI sequence images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020215,EMBARGOED LINKED : Scout images for brain scans - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020216,EMBARGOED LINKED : T1 structural brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020217,EMBARGOED LINKED : Functional brain images - task - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020218,EMBARGOED LINKED : Multiband diffusion brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020219,EMBARGOED LINKED : Susceptibility weighted brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020220,EMBARGOED LINKED : T2 FLAIR structural brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020221,EMBARGOED LINKED : T2/PD brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020222,EMBARGOED LINKED : Carotid artery ultrasound image (left),1000,20,o2 s3,2023-05-26T00:00:00,1
2020223,EMBARGOED LINKED : Carotid artery ultrasound image (right),1000,20,o2 s3,2023-05-26T00:00:00,1
2020224,EMBARGOED LINKED : Phoenix - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020225,EMBARGOED LINKED : Functional brain images - resting - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020226,EMBARGOED LINKED : Carotid artery ultrasound report,1000,20,o2 s3,2023-05-26T00:00:00,1
2020227,EMBARGOED LINKED : Functional brain images - resting - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2020241,EMBARGOED LINKED : Raw carotid device data,1000,20,o2 s3,2023-05-26T00:00:00,1
2020249,EMBARGOED LINKED : Functional brain images - task - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2020250,EMBARGOED LINKED : Multiband diffusion brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2020251,EMBARGOED LINKED : Susceptibility weighted brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2020252,EMBARGOED LINKED : T1 structural brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2020253,EMBARGOED LINKED : T2 FLAIR structural brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2020254,EMBARGOED LINKED : Liver imaging - IDEAL protocol - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020259,EMBARGOED LINKED : Pancreas Images - ShMoLLI - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020260,EMBARGOED LINKED : Pancreas Images - gradient echo - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020263,EMBARGOED LINKED : T1 surface model files and additional structural segmentations,1000,20,o2 s3,2023-05-26T00:00:00,1
2020264,EMBARGOED LINKED : Kidney Imaging - gradient echo - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020265,EMBARGOED LINKED : Kidney Imaging - T2 haste - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020266,EMBARGOED LINKED : Arterial spin labelling brain images - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2020267,EMBARGOED LINKED : Kidney imaging - T2 Vibe - DICOM,1000,20,o2 s3,2023-05-26T00:00:00,1
2025747,EMBARGOED LINKED : Eprime advisor file,1000,20,o2 s3,2023-05-26T00:00:00,1
2025748,EMBARGOED LINKED : Eprime txt file,1000,20,o2 s3,2023-05-26T00:00:00,1
2025749,EMBARGOED LINKED : Eprime ed2 file,1000,20,o2 s3,2023-05-26T00:00:00,1
2025750,"EMBARGOED LINKED : rfMRI full correlation matrix, dimension 25",1000,20,o2 s3,2023-05-26T00:00:00,1
2025751,"EMBARGOED LINKED : rfMRI full correlation matrix, dimension 100",1000,20,o2 s3,2023-05-26T00:00:00,1
2025752,"EMBARGOED LINKED : rfMRI partial correlation matrix, dimension 25",1000,20,o2 s3,2023-05-26T00:00:00,1
2025753,"EMBARGOED LINKED : rfMRI partial correlation matrix, dimension 100",1000,20,o2 s3,2023-05-26T00:00:00,1
2025754,"EMBARGOED LINKED : rfMRI component amplitudes, dimension 25",1000,20,o2 s3,2023-05-26T00:00:00,1
2025755,"EMBARGOED LINKED : rfMRI component amplitudes, dimension 100",1000,20,o2 s3,2023-05-26T00:00:00,1
2026300,EMBARGOED LINKED : Arterial spin labelling brain images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2026301,EMBARGOED LINKED : Quantitative susceptibility mapping images - NIFTI,1000,20,o2 s3,2023-05-26T00:00:00,1
2030005,EMBARGOED LINKED : Carotid Artery Ultrasound (MAT format),1000,20,o2 s3,2024-04-15T00:00:00,1
2032136,EMBARGOED LINKED : Surface-based analysis of resting and task fMRI,1000,20,o2 s3,2024-04-15T00:00:00,1
