app_id,schema27_title,schema27_institution,schema27_pi,website_match_status,website_match_count,start_date,start_dates_all,website_url,website_urls_all,website_titles_all,match_methods
65563,The effects of dietary sodium intake and obesity on blood pressure and other health outcomes,Chinese University of Hong Kong,Dr Qi Feng,matched_one_website_record,1,2020-08-27,2020-08-27,https://www.ukbiobank.ac.uk/projects/the-effects-of-dietary-sodium-intake-and-obesity-on-blood-pressure-and-other-health-outcomes/,https://www.ukbiobank.ac.uk/projects/the-effects-of-dietary-sodium-intake-and-obesity-on-blood-pressure-and-other-health-outcomes/,The effects of dietary sodium intake and obesity on blood pressure and other health outcomes,unique_normalized_title
65571,Use of machine learning and artificial intelligence to predict the outcomes of SARS-CoV-2 positive patients from pseudo-anonymised human data and to use as a prognostic tool of severity and fatality.,University of Brighton,Dr Louise Mackenzie,matched_one_website_record,1,2022-03-07,2022-03-07,https://www.ukbiobank.ac.uk/projects/use-of-machine-learning-and-artificial-intelligence-to-predict-the-outcomes-of-sars-cov-2-positive-patients-from-pseudo-anonymised-human-data-and-to-use-as-a-prognostic-tool-of-severity-and-fatality/,https://www.ukbiobank.ac.uk/projects/use-of-machine-learning-and-artificial-intelligence-to-predict-the-outcomes-of-sars-cov-2-positive-patients-from-pseudo-anonymised-human-data-and-to-use-as-a-prognostic-tool-of-severity-and-fatality/,Use of machine learning and artificial intelligence to predict the outcomes of SARS-CoV-2 positive patients from pseudo-anonymised human data and to use as a prognostic tool of severity and fatality.,unique_normalized_title
65585,Genotyping and allele-association studies between IGHV and KIR locus with COVID-19,National Cancer Institute,Dr Cenk Sahinalp,matched_one_website_record,1,2021-02-08,2021-02-08,https://www.ukbiobank.ac.uk/projects/genotyping-and-allele-association-studies-between-ighv-and-kir-locus-with-covid-19/,https://www.ukbiobank.ac.uk/projects/genotyping-and-allele-association-studies-between-ighv-and-kir-locus-with-covid-19/,Genotyping and allele-association studies between IGHV and KIR locus with COVID-19,unique_normalized_title
65592,Multi-omics polygenic architecture of common diseases,Ontario Institute for Cancer Research,Professor Philip Awadalla,matched_one_website_record,1,2021-09-07,2021-09-07,https://www.ukbiobank.ac.uk/projects/multi-omics-polygenic-architecture-of-common-diseases/,https://www.ukbiobank.ac.uk/projects/multi-omics-polygenic-architecture-of-common-diseases/,Multi-omics polygenic architecture of common diseases,unique_normalized_title
65626,Mechanisms of action for proton pump inhibitors and fracture risk: A UK Biobank Study,University of Brighton,Dr Katherine Staines,matched_one_website_record,1,2021-03-02,2021-03-02,https://www.ukbiobank.ac.uk/projects/mechanisms-of-action-for-proton-pump-inhibitors-and-fracture-risk-a-uk-biobank-study/,https://www.ukbiobank.ac.uk/projects/mechanisms-of-action-for-proton-pump-inhibitors-and-fracture-risk-a-uk-biobank-study/,Mechanisms of action for proton pump inhibitors and fracture risk: A UK Biobank Study,unique_normalized_title
65642,The Paradox of Parenthood and Happiness: Exploring the Role of Empathy,University of Oxford,Dr Valentina Rotondi,matched_one_website_record,1,2021-11-22,2021-11-22,https://www.ukbiobank.ac.uk/projects/the-paradox-of-parenthood-and-happiness-exploring-the-role-of-empathy/,https://www.ukbiobank.ac.uk/projects/the-paradox-of-parenthood-and-happiness-exploring-the-role-of-empathy/,The Paradox of Parenthood and Happiness: Exploring the Role of Empathy,unique_normalized_title
65657,A generative model for brain-age predictions,Technical University of Denmark,Miss Chiara Mauri,matched_one_website_record,1,2020-11-09,2020-11-09,https://www.ukbiobank.ac.uk/projects/a-generative-model-for-brain-age-predictions/,https://www.ukbiobank.ac.uk/projects/a-generative-model-for-brain-age-predictions/,A generative model for brain-age predictions,unique_normalized_title
65688,Understanding the impact and risk factors associated with non-communicable diseases (NCDs),University of Hong Kong,Dr Eric Yuk Fai Wan,matched_one_website_record,1,2020-09-29,2020-09-29,https://www.ukbiobank.ac.uk/projects/understanding-the-impact-and-risk-factors-associated-with-non-communicable-diseases-ncds/,https://www.ukbiobank.ac.uk/projects/understanding-the-impact-and-risk-factors-associated-with-non-communicable-diseases-ncds/,Understanding the impact and risk factors associated with non-communicable diseases (NCDs),unique_normalized_title
65707,Explainable machine learning for studying genomic association of Alzheimer's,University of Washington,Mr Hugh Chen,matched_one_website_record,1,2020-11-18,2020-11-18,https://www.ukbiobank.ac.uk/projects/explainable-machine-learning-for-studying-genomic-association-of-alzheimers/,https://www.ukbiobank.ac.uk/projects/explainable-machine-learning-for-studying-genomic-association-of-alzheimers/,Explainable machine learning for studying genomic association of Alzheimer’s,detail_page_app_id_after_title_unmatched_or_ambiguous
65711,"The association of metabolic trajectory with cardiovascular events, cancers events and all-cause death based on cohort study and Mendelian randomization study",Capital Medical University,Professor Youxin Wang,matched_one_website_record,1,2021-03-09,2021-03-09,https://www.ukbiobank.ac.uk/projects/the-association-of-metabolic-trajectory-with-cardiovascular-events-cancers-events-and-all-cause-death-based-on-cohort-study-and-mendelian-randomization-study/,https://www.ukbiobank.ac.uk/projects/the-association-of-metabolic-trajectory-with-cardiovascular-events-cancers-events-and-all-cause-death-based-on-cohort-study-and-mendelian-randomization-study/,"The association of metabolic trajectory with cardiovascular events, cancers events and all-cause death based on cohort study and Mendelian randomization study",unique_normalized_title
65748,Assessing the Role of Structural Variation in Human Disease using Genotype Imputation with a Cosmopolitan Reference Panel of Diverse Variants,New York Genome Center,Dr Michael Zody,matched_one_website_record,1,2020-10-06,2020-10-06,https://www.ukbiobank.ac.uk/projects/assessing-the-role-of-structural-variation-in-human-disease-using-genotype-imputation-with-a-cosmopolitan-reference-panel-of-diverse-variants/,https://www.ukbiobank.ac.uk/projects/assessing-the-role-of-structural-variation-in-human-disease-using-genotype-imputation-with-a-cosmopolitan-reference-panel-of-diverse-variants/,Assessing the Role of Structural Variation in Human Disease using Genotype Imputation with a Cosmopolitan Reference Panel of Diverse Variants,unique_normalized_title
65753,Cannabis exposure and brain health among middle aged and old adults,University of Haifa,Dr Galit Weinstein,matched_one_website_record,1,2021-03-18,2021-03-18,https://www.ukbiobank.ac.uk/projects/cannabis-exposure-and-brain-health-among-middle-aged-and-old-adults/,https://www.ukbiobank.ac.uk/projects/cannabis-exposure-and-brain-health-among-middle-aged-and-old-adults/,Cannabis exposure and brain health among middle aged and old adults,unique_normalized_title
65769,Association between Early-Life-Stress and Psycho-Cardio-Metabolic Multi-Morbidity: The EarlyCause H2020 Project,University of Barcelona,Dr Karim Lekadir,matched_one_website_record,1,2021-03-30,2021-03-30,https://www.ukbiobank.ac.uk/projects/association-between-early-life-stress-and-psycho-cardio-metabolic-multi-morbidity-the-earlycause-h2020-project/,https://www.ukbiobank.ac.uk/projects/association-between-early-life-stress-and-psycho-cardio-metabolic-multi-morbidity-the-earlycause-h2020-project/,Association between Early-Life-Stress and Psycho-Cardio-Metabolic Multi-Morbidity: The EarlyCause H2020 Project,unique_normalized_title
65776,Monogenic diabetes misdiagnosed as type 1 or type 2 diabetes (T1D or T2D),Research Institute McGill University Health Centre,Professor Constantin Polychronakos,matched_one_website_record,1,2021-01-12,2021-01-12,https://www.ukbiobank.ac.uk/projects/monogenic-diabetes-misdiagnosed-as-type-1-or-type-2-diabetes-t1d-or-t2d/,https://www.ukbiobank.ac.uk/projects/monogenic-diabetes-misdiagnosed-as-type-1-or-type-2-diabetes-t1d-or-t2d/,Monogenic diabetes misdiagnosed as type 1 or type 2 diabetes (T1D or T2D),unique_normalized_title
65795,A multi-modal approach for exploring brain reorganization in age-related hearing loss and its relationship to cognitive decline,Carl von Ossietzky University Oldenburg,Dr Maria Guerreiro,matched_one_website_record,1,2021-02-26,2021-02-26,https://www.ukbiobank.ac.uk/projects/a-multi-modal-approach-for-exploring-brain-reorganization-in-age-related-hearing-loss-and-its-relationship-to-cognitive-decline/,https://www.ukbiobank.ac.uk/projects/a-multi-modal-approach-for-exploring-brain-reorganization-in-age-related-hearing-loss-and-its-relationship-to-cognitive-decline/,A multi-modal approach for exploring brain reorganization in age-related hearing loss and its relationship to cognitive decline,unique_normalized_title
65805,Genetic factors on Type 2 diabetes and hypertension,Sun Yat-Sen University,Professor Huiying Zhao,matched_one_website_record,1,2020-11-06,2020-11-06,https://www.ukbiobank.ac.uk/projects/genetic-factors-on-type-2-diabetes-and-hypertension/,https://www.ukbiobank.ac.uk/projects/genetic-factors-on-type-2-diabetes-and-hypertension/,Genetic factors on Type 2 diabetes and hypertension,unique_normalized_title
