specification,control_definition,design,intervention_date,sample_start,sample_end,term,estimate,std_error,z,p_value,ci_low,ci_high,n_obs,k_params,df_resid,nw_lag,inference
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,ArtificialSlope,-0.31176693,0.06776059,-4.60100657,0.00000420,-0.44457769,-0.17895617,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_02,0.50164743,0.67094085,0.74767758,0.45465466,-0.81339663,1.81669150,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_03,0.66996153,1.24934387,0.53625070,0.59178529,-1.77875246,3.11867553,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_04,-0.49505770,1.04164527,-0.47526515,0.63459799,-2.53668243,1.54656703,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_05,-0.32674360,0.97046461,-0.33668781,0.73635226,-2.22885423,1.57536703,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_06,-4.49176283,0.39337569,-11.41850630,0.00000000,-5.26277919,-3.72074647,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_07,-2.51811389,0.58841755,-4.27946770,0.00001873,-3.67141228,-1.36481549,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_08,-1.73509427,2.52808258,-0.68632816,0.49250619,-6.69013614,3.21994759,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_09,-1.45207466,1.32166852,-1.09866781,0.27191299,-4.04254496,1.13839563,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_10,1.72746406,0.70554573,2.44840834,0.01434889,0.34459442,3.11033369,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_11,2.45852251,0.96731797,2.54158672,0.01103506,0.56257929,4.35446574,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2022-12,2021-10,2024-06,month_12,1.83168590,0.70891775,2.58377774,0.00977247,0.44220711,3.22116469,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,Intercept,-2.47248797,0.51013764,-4.84670757,0.00000126,-3.47235775,-1.47261819,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,Time,0.32789247,0.05431184,6.03721860,0.00000000,0.22144126,0.43434368,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,ArtificialLevel,0.64081907,0.49196529,1.30256968,0.19272172,-0.32343290,1.60507103,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,ArtificialSlope,-0.30161128,0.06744933,-4.47167193,0.00000776,-0.43381197,-0.16941059,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_02,0.53984838,0.70048362,0.77067952,0.44089691,-0.83309951,1.91279628,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_03,0.74636343,1.22440941,0.60957016,0.54214659,-1.65347900,3.14620587,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_04,-0.38045485,1.05457385,-0.36076644,0.71827406,-2.44741960,1.68650990,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_05,-0.17393980,1.06174941,-0.16382378,0.86986987,-2.25496864,1.90708903,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_06,-4.30075808,0.47213948,-9.10908373,0.00000000,-5.22615147,-3.37536470,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_07,-2.36147477,0.77721918,-3.03836400,0.00237866,-3.88482436,-0.83812518,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
strict,Strict already-RAP-bound control proxy,placebo_all_pre,2023-01,2021-10,2024-06,month_08,-1.53856160,2.40503864,-0.63972427,0.52235187,-6.25243733,3.17531413,33,15,18,3,"OLS Newey-West HAC (Bartlett, lag 3; no finite-sample scaling)"
