specification,month,month_start,time,post_july2024,time_after_july2024,month_of_year,group,treated,raw_count,entry_index_pre_mean
strict,2023-08,2023-08-01,56,0,0,8,Treatment,1,6,135.61643836
strict,2023-09,2023-09-01,57,0,0,9,Control,0,5,152.07373272
strict,2023-09,2023-09-01,57,0,0,9,Treatment,1,5,113.01369863
strict,2023-10,2023-10-01,58,0,0,10,Control,0,1,30.41474654
strict,2023-10,2023-10-01,58,0,0,10,Treatment,1,5,113.01369863
strict,2023-11,2023-11-01,59,0,0,11,Control,0,4,121.65898618
strict,2023-11,2023-11-01,59,0,0,11,Treatment,1,12,271.23287671
strict,2023-12,2023-12-01,60,0,0,12,Control,0,0,0.00000000
strict,2023-12,2023-12-01,60,0,0,12,Treatment,1,5,113.01369863
strict,2024-01,2024-01-01,61,0,0,1,Control,0,0,0.00000000
strict,2024-01,2024-01-01,61,0,0,1,Treatment,1,4,90.41095890
strict,2024-02,2024-02-01,62,0,0,2,Control,0,1,30.41474654
strict,2024-02,2024-02-01,62,0,0,2,Treatment,1,4,90.41095890
strict,2024-03,2024-03-01,63,0,0,3,Control,0,1,30.41474654
strict,2024-03,2024-03-01,63,0,0,3,Treatment,1,5,113.01369863
strict,2024-04,2024-04-01,64,0,0,4,Control,0,3,91.24423963
strict,2024-04,2024-04-01,64,0,0,4,Treatment,1,8,180.82191781
strict,2024-05,2024-05-01,65,0,0,5,Control,0,3,91.24423963
strict,2024-05,2024-05-01,65,0,0,5,Treatment,1,5,113.01369863
strict,2024-06,2024-06-01,66,0,0,6,Control,0,1,30.41474654
strict,2024-06,2024-06-01,66,0,0,6,Treatment,1,0,0.00000000
strict,2024-07,2024-07-01,67,1,0,7,Control,0,0,0.00000000
strict,2024-07,2024-07-01,67,1,0,7,Treatment,1,0,0.00000000
strict,2024-08,2024-08-01,68,1,1,8,Control,0,0,0.00000000
strict,2024-08,2024-08-01,68,1,1,8,Treatment,1,0,0.00000000
strict,2024-09,2024-09-01,69,1,2,9,Control,0,0,0.00000000
strict,2024-09,2024-09-01,69,1,2,9,Treatment,1,0,0.00000000
strict,2024-10,2024-10-01,70,1,3,10,Control,0,7,212.90322581
strict,2024-10,2024-10-01,70,1,3,10,Treatment,1,14,316.43835616
strict,2024-11,2024-11-01,71,1,4,11,Control,0,12,364.97695853
strict,2024-11,2024-11-01,71,1,4,11,Treatment,1,9,203.42465753
strict,2024-12,2024-12-01,72,1,5,12,Control,0,8,243.31797235
strict,2024-12,2024-12-01,72,1,5,12,Treatment,1,7,158.21917808
strict,2025-01,2025-01-01,73,1,6,1,Control,0,5,152.07373272
strict,2025-01,2025-01-01,73,1,6,1,Treatment,1,7,158.21917808
strict,2025-02,2025-02-01,74,1,7,2,Control,0,8,243.31797235
strict,2025-02,2025-02-01,74,1,7,2,Treatment,1,9,203.42465753
strict,2025-03,2025-03-01,75,1,8,3,Control,0,5,152.07373272
strict,2025-03,2025-03-01,75,1,8,3,Treatment,1,7,158.21917808
strict,2025-04,2025-04-01,76,1,9,4,Control,0,6,182.48847926
strict,2025-04,2025-04-01,76,1,9,4,Treatment,1,13,293.83561644
strict,2025-05,2025-05-01,77,1,10,5,Control,0,4,121.65898618
strict,2025-05,2025-05-01,77,1,10,5,Treatment,1,11,248.63013699
strict,2025-06,2025-06-01,78,1,11,6,Control,0,9,273.73271889
strict,2025-06,2025-06-01,78,1,11,6,Treatment,1,16,361.64383562
