specification,model_id,test,outcome,outcome_scale,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
strict,new_cits_strict_normalized_treatment,Treatment series,treatment_index_pre_mean,normalized,higher-incremental-exposure proxy,each group's full pre-July-2024 monthly mean,month_12,-36.63762126,56.50831203,-0.64835809,0.51675337,-147.39391283,74.11867031,55,0.58432626,4.01637976,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,Intercept,-54.18899917,22.38063578,-2.42124485,0.01546745,-98.05504529,-10.32295305,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,Time,4.88747948,1.03000061,4.74512289,0.00000208,2.86867828,6.90628068,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,PostJuly2024,-137.25984292,50.40113886,-2.72334804,0.00646239,-236.04607507,-38.47361076,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,TimeAfterJuly2024,2.02152245,3.20929670,0.62989578,0.52876277,-4.26869909,8.31174399,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_02,-22.05353312,19.94301182,-1.10582761,0.26880114,-61.14183629,17.03477004,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_03,20.36540647,40.35752396,0.50462478,0.61382240,-58.73534048,99.46615343,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_04,-46.97285895,36.01597368,-1.30422294,0.19215758,-117.56416737,23.61844948,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_05,-13.18822776,31.81438239,-0.41453666,0.67848113,-75.54441725,49.16796173,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_06,-116.60088984,35.80034184,-3.25697700,0.00112606,-186.76955985,-46.43221983,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_07,-34.61074354,25.80034920,-1.34148353,0.17976351,-85.17942798,15.95794089,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_08,-53.93207816,44.60756570,-1.20903433,0.22664966,-141.36290693,33.49875062,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_09,-52.80660694,31.71679955,-1.66494122,0.09592448,-114.97153406,9.35832018,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_10,30.15757232,26.44309263,1.14047070,0.25409025,-21.67088924,81.98603388,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_11,-71.68532828,53.67072049,-1.33565057,0.18166351,-176.87994044,33.50928389,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
strict,new_cits_strict_normalized_treatment_minus_control,Treatment-minus-Control difference series,index_diff_treatment_minus_control,normalized,Treatment - Control,each group's full pre-July-2024 monthly mean,month_12,-3.66886077,27.30503706,-0.13436571,0.89311339,-57.18673341,49.84901187,55,0.43615870,2.21013909,3,OLS Newey-West HAC,2021-10 through 2026-04
