cohort_cutoff,calendar_month,month_start,fixed_cohort_projects,fractional_publication_count,fractional_publications_per_100_fixed_cohort,calendar_post_july_2024
2022-07-01,2024-11,2024-11-01,2862,112.500,3.9308,1
2022-07-01,2024-12,2024-12-01,2862,107.000,3.7386,1
2022-07-01,2025-01,2025-01-01,2862,142.500,4.9790,1
2022-07-01,2025-02,2025-02-01,2862,113.000,3.9483,1
2022-07-01,2025-03,2025-03-01,2862,138.000,4.8218,1
2022-07-01,2025-04,2025-04-01,2862,123.667,4.3210,1
2022-07-01,2025-05,2025-05-01,2862,131.000,4.5772,1
2022-07-01,2025-06,2025-06-01,2862,114.500,4.0007,1
2022-07-01,2025-07,2025-07-01,2862,153.000,5.3459,1
2022-07-01,2025-08,2025-08-01,2862,152.000,5.3110,1
2022-07-01,2025-09,2025-09-01,2862,116.900,4.0846,1
2022-07-01,2025-10,2025-10-01,2862,143.500,5.0140,1
2022-07-01,2025-11,2025-11-01,2862,118.333,4.1346,1
2022-07-01,2025-12,2025-12-01,2862,129.500,4.5248,1
