app_id,project_start_date,start_cohort,project_cohort,project_cohort_post_rap,followup_eligible_12m,pub12_fractional,anypub12,followup_eligible_18m,pub18_fractional,anypub18,followup_eligible_24m,pub24_fractional,anypub24
5445,2016-02-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5608,2013-12-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
5791,2014-09-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5855,2015-08-31,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5864,2014-09-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
5974,2015-05-02,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
6077,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
6326,2014-08-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
6342,2016-06-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
6507,2015-07-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
6553,2014-10-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.500000,1
6569,2014-07-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
6684,2015-08-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
6728,2015-05-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
6763,2014-03-01,2014H1,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
6818,2015-03-15,2015H1,pre_rap_project_start,0,1,1.000000,1,1,1.000000,1,1,2.000000,1
6989,2014-07-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7036,2014-04-01,2014H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7089,2015-01-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
7140,2014-09-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7155,2014-06-01,2014H1,pre_rap_project_start,0,1,2.000000,1,1,3.500000,1,1,5.500000,1
7206,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7439,2013-09-01,2013H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7441,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7487,2014-07-15,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7661,2015-01-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
7898,2015-12-01,2015H2,pre_rap_project_start,0,1,1.000000,1,1,1.000000,1,1,1.000000,1
7908,2014-12-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
7996,2015-01-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8009,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8107,2015-10-01,2015H2,pre_rap_project_start,0,1,1.000000,1,1,1.000000,1,1,2.000000,1
8256,2015-01-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8260,2015-09-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8294,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8304,2014-12-15,2014H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.500000,1
8343,2017-05-01,2017H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8370,2015-10-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8389,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8447,2014-09-01,2014H2,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
8508,2016-01-04,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8614,2016-11-01,2016H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8764,2015-07-01,2015H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8786,2015-02-02,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8835,2014-12-15,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
8874,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,1.000000,1,1,1.000000,1
9055,2015-01-05,2015H1,pre_rap_project_start,0,1,0.000000,0,1,1.500000,1,1,2.500000,1
9072,2015-01-05,2015H1,pre_rap_project_start,0,1,0.000000,0,1,1.500000,1,1,2.500000,1
9119,2014-09-30,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9126,2014-10-13,2014H2,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9142,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9161,2015-04-30,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
9174,2016-04-15,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9188,2017-02-01,2017H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9310,2016-06-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
9462,2016-01-02,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9502,2016-04-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9616,2016-01-01,2016H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
9628,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,1.000000,1
9637,2015-04-01,2015H1,pre_rap_project_start,0,1,0.000000,0,1,0.000000,0,1,0.000000,0
