period,period_start,publication_app_links,unique_publication_ids,fractional_publication_count,app_links_minus_unique_ids,app_links_minus_fractional_count,unique_id_reduction_percent_vs_app_links,fractional_reduction_percent_vs_app_links,note
2025-06,2025-06-01,199,193,193.000,6,6.000,3.02,3.02,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-07,2025-07-01,290,281,281.000,9,9.000,3.10,3.10,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-08,2025-08-01,270,261,261.000,9,9.000,3.33,3.33,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-09,2025-09-01,224,213,213.000,11,11.000,4.91,4.91,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-10,2025-10-01,281,272,272.000,9,9.000,3.20,3.20,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-11,2025-11-01,239,227,227.000,12,12.000,5.02,5.02,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2025-12,2025-12-01,270,265,265.000,5,5.000,1.85,1.85,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2026-01,2026-01-01,311,304,304.000,7,7.000,2.25,2.25,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2026-02,2026-02-01,256,245,245.000,11,11.000,4.30,4.30,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2026-03,2026-03-01,287,280,280.000,7,7.000,2.44,2.44,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2026-04,2026-04-01,301,287,287.000,14,14.000,4.65,4.65,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2026-05,2026-05-01,267,262,262.000,5,5.000,1.87,1.87,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
2026-06,2026-06-01,167,158,158.000,9,9.000,5.39,5.39,System-level measurement sensitivity; differences reflect publications linked to multiple UKB applications.
