age_band,month,month_start,post_start_incumbent_projects,unique_publication_ids,publication_intensity_per_100,post_transition
2_5y,2023-04,2023-04-01,1585,62,3.912,0
5y_plus,2023-04,2023-04-01,642,45,7.009,0
lt_2y,2023-05,2023-05-01,1297,20,1.542,0
2_5y,2023-05,2023-05-01,1611,68,4.221,0
5y_plus,2023-05,2023-05-01,656,40,6.098,0
lt_2y,2023-06,2023-06-01,1329,24,1.806,0
2_5y,2023-06,2023-06-01,1628,71,4.361,0
5y_plus,2023-06,2023-06-01,683,56,8.199,0
lt_2y,2023-07,2023-07-01,1366,15,1.098,0
2_5y,2023-07,2023-07-01,1615,78,4.830,0
5y_plus,2023-07,2023-07-01,721,42,5.825,0
lt_2y,2023-08,2023-08-01,1404,31,2.208,0
2_5y,2023-08,2023-08-01,1610,67,4.161,0
5y_plus,2023-08,2023-08-01,746,38,5.094,0
lt_2y,2023-09,2023-09-01,1428,22,1.541,0
2_5y,2023-09,2023-09-01,1600,70,4.375,0
5y_plus,2023-09,2023-09-01,789,45,5.703,0
lt_2y,2023-10,2023-10-01,1453,18,1.239,0
2_5y,2023-10,2023-10-01,1606,69,4.296,0
5y_plus,2023-10,2023-10-01,829,38,4.584,0
lt_2y,2023-11,2023-11-01,1491,38,2.549,0
2_5y,2023-11,2023-11-01,1604,84,5.237,0
5y_plus,2023-11,2023-11-01,873,39,4.467,0
lt_2y,2023-12,2023-12-01,1493,25,1.674,0
2_5y,2023-12,2023-12-01,1607,67,4.169,0
5y_plus,2023-12,2023-12-01,905,36,3.978,0
lt_2y,2024-01,2024-01-01,1532,39,2.546,0
2_5y,2024-01,2024-01-01,1603,75,4.679,0
5y_plus,2024-01,2024-01-01,945,57,6.032,0
lt_2y,2024-02,2024-02-01,1521,28,1.841,0
2_5y,2024-02,2024-02-01,1625,53,3.262,0
5y_plus,2024-02,2024-02-01,985,46,4.670,0
lt_2y,2024-03,2024-03-01,1523,24,1.576,0
2_5y,2024-03,2024-03-01,1654,72,4.353,0
5y_plus,2024-03,2024-03-01,1037,64,6.172,0
lt_2y,2024-04,2024-04-01,1536,40,2.604,0
2_5y,2024-04,2024-04-01,1678,87,5.185,0
5y_plus,2024-04,2024-04-01,1072,52,4.851,0
lt_2y,2024-05,2024-05-01,1503,45,2.994,0
2_5y,2024-05,2024-05-01,1684,81,4.810,0
5y_plus,2024-05,2024-05-01,1132,52,4.594,0
lt_2y,2024-06,2024-06-01,1467,48,3.272,0
2_5y,2024-06,2024-06-01,1697,63,3.712,0
5y_plus,2024-06,2024-06-01,1165,43,3.691,0
lt_2y,2024-07,2024-07-01,1417,48,3.387,1
2_5y,2024-07,2024-07-01,1700,82,4.824,1
5y_plus,2024-07,2024-07-01,1215,64,5.267,1
lt_2y,2024-08,2024-08-01,1344,35,2.604,1
2_5y,2024-08,2024-08-01,1746,97,5.556,1
5y_plus,2024-08,2024-08-01,1242,51,4.106,1
lt_2y,2024-09,2024-09-01,1250,30,2.400,1
2_5y,2024-09,2024-09-01,1809,72,3.980,1
5y_plus,2024-09,2024-09-01,1273,44,3.456,1
lt_2y,2024-10,2024-10-01,1215,37,3.045,1
2_5y,2024-10,2024-10-01,1801,76,4.220,1
5y_plus,2024-10,2024-10-01,1316,59,4.483,1
lt_2y,2024-11,2024-11-01,1141,30,2.629,1
2_5y,2024-11,2024-11-01,1823,77,4.224,1
5y_plus,2024-11,2024-11-01,1368,58,4.240,1
lt_2y,2024-12,2024-12-01,1069,28,2.619,1
2_5y,2024-12,2024-12-01,1866,68,3.644,1
5y_plus,2024-12,2024-12-01,1397,59,4.223,1
lt_2y,2025-01,2025-01-01,1011,35,3.462,1
2_5y,2025-01,2025-01-01,1871,120,6.414,1
5y_plus,2025-01,2025-01-01,1450,71,4.897,1
lt_2y,2025-02,2025-02-01,962,33,3.430,1
2_5y,2025-02,2025-02-01,1873,78,4.164,1
5y_plus,2025-02,2025-02-01,1497,64,4.275,1
lt_2y,2025-03,2025-03-01,889,31,3.487,1
2_5y,2025-03,2025-03-01,1855,101,5.445,1
5y_plus,2025-03,2025-03-01,1588,79,4.975,1
lt_2y,2025-04,2025-04-01,831,32,3.851,1
2_5y,2025-04,2025-04-01,1862,115,6.176,1
5y_plus,2025-04,2025-04-01,1639,62,3.783,1
lt_2y,2025-05,2025-05-01,768,25,3.255,1
2_5y,2025-05,2025-05-01,1889,123,6.511,1
5y_plus,2025-05,2025-05-01,1675,65,3.881,1
lt_2y,2025-06,2025-06-01,692,31,4.480,1
2_5y,2025-06,2025-06-01,1896,94,4.958,1
5y_plus,2025-06,2025-06-01,1744,65,3.727,1
lt_2y,2025-07,2025-07-01,630,33,5.238,1
2_5y,2025-07,2025-07-01,1905,155,8.136,1
5y_plus,2025-07,2025-07-01,1797,84,4.674,1
lt_2y,2025-08,2025-08-01,572,23,4.021,1
2_5y,2025-08,2025-08-01,1914,143,7.471,1
5y_plus,2025-08,2025-08-01,1846,88,4.767,1
lt_2y,2025-09,2025-09-01,515,22,4.272,1
2_5y,2025-09,2025-09-01,1925,125,6.494,1
5y_plus,2025-09,2025-09-01,1892,66,3.488,1
lt_2y,2025-10,2025-10-01,444,23,5.180,1
2_5y,2025-10,2025-10-01,1967,132,6.711,1
5y_plus,2025-10,2025-10-01,1921,91,4.737,1
lt_2y,2025-11,2025-11-01,364,17,4.670,1
2_5y,2025-11,2025-11-01,2007,120,5.979,1
5y_plus,2025-11,2025-11-01,1961,70,3.570,1
lt_2y,2025-12,2025-12-01,327,15,4.587,1
2_5y,2025-12,2025-12-01,2039,160,7.847,1
5y_plus,2025-12,2025-12-01,1966,71,3.611,1
