frequency,control_definition,outcome,event_time,estimate,clustered_se,p_value,ci_low,ci_high,reference_period,model
quarter,CONTROL_C01,any_publication,0,-0.023133,0.033657,0.491873,-0.089100,0.042834,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,1,-0.028387,0.032712,0.385518,-0.092503,0.035729,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,2,0.012216,0.026261,0.641800,-0.039255,0.063688,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,3,-0.035179,0.033973,0.300437,-0.101767,0.031408,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,4,-0.016166,0.027427,0.555568,-0.069922,0.037590,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,5,0.028538,0.026171,0.275520,-0.022757,0.079832,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,6,0.022076,0.027633,0.424339,-0.032084,0.076237,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C01,any_publication,7,-0.009701,0.026374,0.712996,-0.061395,0.041992,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,-8,-0.117100,0.051187,0.022156,-0.217427,-0.016773,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,-7,-0.026788,0.054974,0.626056,-0.134538,0.080962,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,-6,0.032282,0.034207,0.345308,-0.034763,0.099327,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,-5,-0.062085,0.060243,0.302744,-0.180162,0.055992,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,-4,0.014980,0.030365,0.621775,-0.044535,0.074494,2024Q2,app_fe_quarter_fe_project_age_bin_fe
quarter,CONTROL_C03,publication_count,-3,-0.037324,0.045220,0.409152,-0.125955,0.051307,2024Q2,app_fe_quarter_fe_project_age_bin_fe
