app_id,project_start_date,project_start_year,post_policy_start,original_stage3_classification,stage3_confidence,control_layer,cumulative_control_C0,cumulative_control_C01,cumulative_control_C03,cumulative_control_C05,cumulative_control_C06,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05,regression_group_CONTROL_C06,pub_pre24,pub_post24,any_pub_pre24,any_pub_post24,delta_pub24,delta_any_pub24,p1_existing_project_sample,publication_6m,publication_12m,publication_18m,any_publication_6m,any_publication_12m,any_publication_18m,sufficient_followup_6m,sufficient_followup_12m,sufficient_followup_18m,p2_entry_cohort,dmca_strict_21,dmca_main_27,dmca_broad_48,dmca_notice_count,dmca_lineage_count,first_dmca_notice_date,dmca_count_note,stage3_already_rap_modalities,stage3_legacy_route_modalities,schema27_title,schema27_pi,schema27_institution,website_url
837,2015-02-01,2015,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,IMAGING|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Gary Frost,Professor Gary Frost,Imperial College London,https://www.ukbiobank.ac.uk/projects/gary-frost/
871,2015-05-31,2015,0,UNCLEAR,LOW,C6,0,0,0,0,1,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,control_overlap_original_unclear,2,0,1,0,-2,-1,1,0,2,2,0,1,1,1,1,1,outside_entry_window,0,0,0,0,0,,,,,Genetic factors associated with being at different extremes of the reproductive lifespan,Dr Anna Murray,University of Exeter,https://www.ukbiobank.ac.uk/projects/genetic-factors-associated-with-being-at-different-extremes-of-the-reproductive-lifespan/
885,2014-11-01,2014,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,1,0,1,0,-1,-1,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,LINKED_HEALTH_RECORDS|QUESTIONNAIRES_ASSESSMENT,Epidemiology of kidney stone disease,Dr Benjamin Turney,University of Oxford,https://www.ukbiobank.ac.uk/projects/epidemiology-of-kidney-stone-disease/
1100,2014-07-01,2014,0,UNCLEAR,LOW,,0,0,0,0,0,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,,The causes of and risk factors for visual impairment in middle-aged adults in the UK Biobank,Mr Martin McKibbin,Leeds Teaching Hospitals NHS Trust,https://www.ukbiobank.ac.uk/projects/the-causes-of-and-risk-factors-for-visual-impairment-in-middle-aged-adults-in-the-uk-biobank/
1144,2012-11-05,2012,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,2,0,1,2,1,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Epidemiology of chronic pain,Professor Gary Macfarlane,University of Aberdeen,https://www.ukbiobank.ac.uk/projects/epidemiology-of-chronic-pain/
1159,2013-01-01,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Association beween cognitive function and Chonic Obstructive Pulmonary Disease,Dr Daisy Janssen,CIRO+,https://www.ukbiobank.ac.uk/projects/association-beween-cognitive-function-and-chonic-obstructive-pulmonary-disease/
1163,2013-09-18,2013,0,NEWLY_RAP_BOUND,MEDIUM,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES,Association between dietary intake and lung function,Dr Erica Rutten,CIRO+,https://www.ukbiobank.ac.uk/projects/association-between-dietary-intake-and-lung-function/
1251,2015-07-01,2015,0,NEWLY_RAP_BOUND,HIGH,C6,0,0,0,0,1,treated,treated,treated,treated,control_overlap_original_newly_rap_bound,1,4,1,1,3,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,"The metabolically healthy obese and metabolically obese normal-weight in the UK Biobank: Prevalence, genes and lifestyle contributors, disease risk and mortality",Professor Ruth Loos,Icahn School of Medicine at Mount Sinai,https://www.ukbiobank.ac.uk/projects/the-metabolically-healthy-obese-and-metabolically-obese-normal-weight-in-the-uk-biobank-prevalence-genes-and-lifestyle-contributors-disease-risk-and-mortality/
1331,2014-07-01,2014,0,NEWLY_RAP_BOUND,MEDIUM,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,QUESTIONNAIRES_ASSESSMENT,Prevalence and risk factors for benign and malignant colorectal disease in the UK.,Dr Kathryn McCarthy,North Bristol NHS Trust,https://www.ukbiobank.ac.uk/projects/prevalence-and-risk-factors-for-benign-and-malignant-colorectal-disease-in-the-uk/
1383,2012-12-01,2012,0,UNCLEAR,LOW,,0,0,0,0,0,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,,Environmental risk factors of non-cancer illness,Dr Jess Tyrrell,University of Exeter,https://www.ukbiobank.ac.uk/projects/environmental-risk-factors-of-non-cancer-illness/
1417,2013-06-01,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,GENOTYPING_IMPUTATION,Associations between parental attained ages and health status,Professor David Melzer,University of Exeter,https://www.ukbiobank.ac.uk/projects/associations-between-parental-attained-ages-and-health-status/
1602,2014-01-01,2014,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,5,5,1,1,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,Association between diet and depression,Dr Gabriella Juhasz,Semmelweis University,https://www.ukbiobank.ac.uk/projects/association-between-diet-and-depression/
1618,2018-05-14,2018,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,1,0,1,0,-1,-1,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,BIOMARKERS_ASSAYS|ENVIRONMENT_GEOSPATIAL|GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,Interaction of genetics and environment in triggering anti-PLA2R autoantibody in membranous nephropathy: a paradigm for initiation of autoimmunity,Professor Paul Brenchley,Central Manchester University Hospitals NHS Trust,https://www.ukbiobank.ac.uk/projects/interaction-of-genetics-and-environment-in-triggering-anti-pla2r-autoantibody-in-membranous-nephropathy-a-paradigm-for-initiation-of-autoimmunity/
1781,2014-03-03,2014,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,BIOMARKERS_ASSAYS|QUESTIONNAIRES_ASSESSMENT,Personalized prediction of diabetes outcomes,Dr Gerard Lipowski,AIST,https://www.ukbiobank.ac.uk/projects/personalized-prediction-of-diabetes-outcomes/
1969,2017-03-01,2017,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,BIOMARKERS_ASSAYS|IMAGING,Development of structural and functional brain connectivity during normal and pathological ageing,Professor Marcus Kaiser,Newcastle University,https://www.ukbiobank.ac.uk/projects/development-of-structural-and-functional-brain-connectivity-during-normal-and-pathological-ageing/
1995,2013-03-25,2013,0,NEWLY_RAP_BOUND,HIGH,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,Evaluation of the clinical value of emerging risk factors for primary prevention of cardiovascular disease,Professor Steffen Petersen,Queen Mary University of London,https://www.ukbiobank.ac.uk/projects/evaluation-of-the-clinical-value-of-emerging-risk-factors-for-primary-prevention-of-cardiovascular-disease/
2112,2013-03-04,2013,0,NEWLY_RAP_BOUND,HIGH,C6,0,0,0,0,1,treated,treated,treated,treated,control_overlap_original_newly_rap_bound,7,3,1,1,-4,0,1,0,0,0,0,0,0,1,1,1,outside_entry_window,0,0,0,0,0,,,,IMAGING|QUESTIONNAIRES_ASSESSMENT,Automated macular thickness measurements and association with potential risk factors and systemic disease,Mr Praveen Patel,Moorfields Eye Hospital NHS Foundation Trust,https://www.ukbiobank.ac.uk/projects/automated-macular-thickness-measurements-and-association-with-potential-risk-factors-and-systemic-disease/
2482,2013-10-01,2013,0,NEWLY_RAP_BOUND,MEDIUM,,0,0,0,0,0,treated,treated,treated,treated,treated,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,outside_entry_window,0,0,0,0,0,,,,QUESTIONNAIRES_ASSESSMENT,Comparisson of smoking behaviour between men and women to assess risk inducing habits,Professor Mark Woodward,George Institute for Global Health,https://www.ukbiobank.ac.uk/projects/comparisson-of-smoking-behaviour-between-men-and-women-to-assess-risk-inducing-habits/
