model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_05,-39.05818504,27.76543449,-1.40671975,0.15951051,-93.47843664,15.36206655,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_06,-41.28913379,31.70566646,-1.30226355,0.19282631,-103.43224005,20.85397248,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_07,-22.81547114,37.03986154,-0.61597075,0.53791383,-95.41359976,49.78265747,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_08,-52.54799545,27.86116322,-1.88606610,0.05928605,-107.15587535,2.05988446,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_09,-28.02237265,35.81264293,-0.78247151,0.43393752,-98.21515280,42.17040750,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_10,11.77350710,34.26028823,0.34364880,0.73111042,-55.37665782,78.92367203,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_11,21.35377201,22.28668825,0.95814020,0.33799207,-22.32813697,65.03568099,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_12,-40.21886256,19.49506381,-2.06302800,0.03910997,-78.42918762,-2.00853750,90,0.41483997,3.79786197,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,Intercept,131.68830996,27.47367373,4.79325449,0.00000164,77.83990944,185.53671047,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,Time,-0.13032544,0.24504081,-0.53185198,0.59482852,-0.61060543,0.34995455,90,0.36097317,3.02614027,3,OLS Newey-West HAC,2019-01 through 2026-06
