family_id,family_status,lineage_count,lineage_ids,source_repositories,candidate_application_count,supported_or_ambiguous_application_count,candidate_application_ids,supported_or_ambiguous_application_ids,confirmed_rows,probable_rows,ambiguous_rows,candidate_rows,weak_candidate_rows,new_unique_candidate_count_beyond_52
family_metabolomicscommondiseases,weak_candidate_only,3,lineage_chengluomilk_metabolomicscommondiseases; lineage_yanluocityu_metabolomicscommondiseases; lineage_zlpsophina_metabolomicscommondiseases,chengluomilk/MetabolomicsCommonDiseases; YanLuoCityU/MetabolomicsCommonDiseases; zlpsophina/MetabolomicsCommonDiseases,20,0,19416; 33975; 34684; 40055; 53639; 55858; 65592; 70301; 76636; 77740; 84980; 90143; 100242; 103608; 107083; 109607; 181082; 197617; 585007; 762894,,0,0,0,0,60,20
family_mh-in-ukb,confirmed,1,lineage_tongluobing_mh_in_ukb,tongluobing/MH_in_UKB,21,1,7487; 12598; 21133; 21988; 46961; 47267; 54406; 61576; 78439; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 1000805; 1001139; 1001461; 1002450,47267,1,0,0,0,20,20
family_mltc-clustering,weak_candidate_only,1,lineage_kremerml_mltc-clustering,KremerML/MLTC-clustering,20,0,7089; 12505; 15181; 21988; 23203; 61054; 61744; 63871; 74297; 78350; 103758; 598205; 699845; 711067; 827580; 948339; 1054923; 1124889; 1215961; 1245359,,0,0,0,0,20,19
family_moodie-geneexpression-cognition,weak_candidate_only,1,lineage_jialingfan1_moodie-geneexpression-cognition,JialingFan1/moodie-geneexpression-cognition,20,0,10163; 21988; 23739; 25570; 31615; 35605; 57519; 66639; 80165; 94329; 96697; 97089; 110161; 171904; 255331; 302523; 415382; 708097; 936468; 1000805,,0,0,0,0,20,20
family_mtswirl,weak_candidate_only,2,lineage_jessicaway_mtswirl; lineage_victory-hugo_mtswirl,jessicaway/mtSwirl; Victory-Hugo/mtSwirl,20,0,21988; 46263; 59528; 63956; 100014; 100235; 100242; 100261; 100274; 100300; 100316; 100337; 100359; 100371; 1000805; 1001139; 1001461; 1002450; 1002478; 1050006,,0,0,0,0,40,20
family_multi-outcome,weak_candidate_only,2,lineage_ikram-c_multi_outcome; lineage_mengjiefan_multi_outcome,Ikram-c/multi_outcome; mengjiefan/multi_outcome,20,0,15666; 18177; 22276; 62709; 64211; 85092; 99869; 106345; 106418; 151418; 276802; 488654; 532950; 778067; 1016672; 1055001; 1079350; 1150622; 1163821; 1274399,,0,0,0,0,40,20
family_nanhui2000_ukb,weak_candidate_only,1,lineage_nanhui2000_ukb,nanhui2000/ukb,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_neuralcvd,weak_candidate_only,4,lineage_dhanushb2000_neuralcvd; lineage_haibinli0817_neuralcvd; lineage_yanluocityu_neuralcvd; lineage_yanranwang_neuralcvd,DhanushB2000/NeuralCVD; HaibinLi0817/NeuralCVD; YanLuoCityU/NeuralCVD; yanranwang/NeuralCVD,20,0,20904; 21988; 43117; 45258; 46791; 56317; 62188; 65898; 92760; 97487; 103445; 105899; 106460; 107201; 136530; 182419; 455643; 587977; 706110; 782341,,0,0,0,0,80,20
family_nextgen-exomiser-ukb,weak_candidate_only,1,lineage_martadelfino_nextgen-exomiser-ukb,martadelfino/nextgen-exomiser-ukb,20,0,21988; 100235; 100242; 100261; 100274; 100300; 100337; 100359; 100371; 100411; 100469; 100532; 100578; 100584; 1000805; 1001139; 1001461; 1002450; 1004433; 1006098,,0,0,0,0,20,20
family_omniprs,ambiguous_multi_application,1,lineage_biostatshao_omniprs,biostatShao/OmniPRS,20,17,44098; 51628; 52031; 56579; 59309; 65814; 77701; 84038; 88159; 94340; 148757; 171511; 190346; 474802; 578405; 899824; 1110109; 1127907; 1141727; 1221902,44098; 51628; 52031; 65814; 84038; 88159; 94340; 148757; 171511; 190346; 474802; 578405; 899824; 1110109; 1127907; 1141727; 1221902,1,0,0,16,3,19
family_pain-proteomics,confirmed,1,lineage_frank-hqz_pain_proteomics,Frank-HQZ/Pain_Proteomics,21,1,19542; 21988; 49572; 51933; 64102; 67838; 89386; 90143; 102284; 106345; 181095; 200882; 255331; 491942; 501518; 836794; 1006787; 1061591; 1108406; 1146999; 1166800,19542,1,0,0,0,20,20
family_popmodel-ml-mh,ambiguous_multi_application,1,lineage_personomicslab_popmodel_ml_mh,PersonomicsLab/popmodel_ML_MH,2,2,23827; 47267,23827; 47267,1,0,1,0,0,1
family_postincredible_ukbb,weak_candidate_only,1,lineage_postincredible_ukbb,postincredible/ukbb,20,0,236; 6553; 11795; 17731; 21988; 23509; 25953; 41672; 42195; 44606; 51174; 59846; 72298; 75142; 94956; 102849; 103198; 106206; 106418; 182419,,0,0,0,0,20,20
family_predict-cahd-by-ecg-on-uk-biobank,weak_candidate_only,1,lineage_iff-0303_predict_cahd_by_ecg_on_uk_biobank,IFF-0303/Predict_CAHD_by_ECG_on_UK_Biobank,20,0,21988; 31269; 33002; 37212; 41297; 44521; 44566; 58024; 59642; 63774; 66128; 94939; 105731; 109227; 282742; 393607; 532810; 1054923; 1131176; 1146999,,0,0,0,0,20,20
