design,frequency,control_definition,outcome,model,coefficient,cluster,n_obs,n_apps,n_treated_apps,n_control_apps,estimate,clustered_se,p_value,ci_low,ci_high,warning,note
Q0_recent_projects_started_after_2020,quarter,CONTROL_C01,any_publication,application_fe_calendar_quarter_fe,treated_x_post,application,32155,2245,2155,90,-0.007841,0.013749,0.568467,-0.034790,0.019107,,active-project exposure robustness using pre-treatment start date only
Q0_quarterly_incumbent_did,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,51515,3455,3325,130,0.015205,0.024773,0.539373,-0.033351,0.063760,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q0_quarterly_incumbent_did,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_post,institution,51515,3455,3325,130,0.015205,0.028145,0.589038,-0.039960,0.070369,,pre_periods=8; post_periods=8; 2024Q3_as_post
Q1_quarterly_incumbent_did_age_adjusted,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe_project_age_bin_fe,treated_x_post,application,51515,3455,3325,130,0.025797,0.024362,0.289644,-0.021953,0.073547,,"age bins: q0,q1,q2,q3,q4_7,q8_11,q12_15,q16_23,q24_35,q36_47,q48_plus"
Q0_quarterly_drop_first_partial_period,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,50379,3455,3325,130,0.010855,0.025616,0.671752,-0.039353,0.061063,,drops first partial at-risk quarter
Q0_quarterly_stable_post_drop_2024Q3,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_stable_post,application,48060,3455,3325,130,0.018387,0.022668,0.417294,-0.026043,0.062816,,drops 2024Q3 transition quarter; post starts 2024Q4
Q0_quarterly_exclude_top1pct_publication_apps,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,50598,3396,3268,128,-0.002539,0.015220,0.867530,-0.032371,0.027293,,excluded_top_1pct_apps=72
Q0_balanced_incumbent_started_by_2022Q3,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,37104,2319,2230,89,-0.010716,0.031981,0.737578,-0.073399,0.051968,,balanced incumbent sample started by 2022-07-01
Q0_recent_projects_started_after_2019,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,38587,2647,2532,115,0.004071,0.015733,0.795821,-0.026765,0.034907,,active-project exposure robustness using pre-treatment start date only
Q0_recent_projects_started_after_2020,quarter,CONTROL_C03,publication_count,application_fe_calendar_quarter_fe,treated_x_post,application,32203,2248,2151,97,0.009839,0.016897,0.560386,-0.023279,0.042957,,active-project exposure robustness using pre-treatment start date only
