app_id	pub_id
7089	14842
7089	15237
7089	16068
7089	16275
7089	16339
7089	17288
7089	17331
7089	17420
7089	17632
7089	17968
7089	18165
7089	18175
7089	18243
7089	18252
7089	18402
7089	18532
7089	18679
7089	18681
7089	18684
7089	18687
7089	18897
7089	19084
7089	19424
7089	19530
7089	20548
7089	20557
7140	1492
7140	13731
7155	464
7155	465
7155	502
7155	505
7155	509
7155	510
7155	512
7155	514
7155	1477
7155	1481
7155	1682
7155	1683
7155	1782
7155	1843
7155	1844
7155	1847
7155	2525
7155	2831
7155	2859
7155	3268
7155	3377
7155	3675
7155	3676
7155	3722
7155	3997
7155	4036
7155	4086
7155	4122
7155	4192
7155	4230
7155	4255
7155	4288
7155	4291
7155	4357
7155	4429
7155	4546
7155	4601
7155	4683
7155	4729
7155	4733
7155	4735
7155	4847
7155	4864
7155	5284
7155	5297
7155	5407
7155	5463
7155	5551
7155	5668
7155	5695
7155	5735
7155	5818
7155	5870
7155	5987
7155	7052
7155	7256
7155	7291
7155	7345
7155	7564
7155	7595
7155	7599
7155	7731
7155	7733
7155	7922
7155	7971
7155	7991
7155	8046
7155	8165
7155	8409
7155	8415
7155	8427
7155	8503
7155	9109
7155	9367
7155	9522
7155	9537
7155	9783
7155	9827
7155	10114
7155	10230
7155	10755
7155	10818
7155	11078
7155	11161
7155	11231
7155	11235
7155	11269
7155	11280
7155	11282
7155	11379
7155	11392
7155	11486
7155	11989
7155	12349
7155	12350
7155	12403
7155	12447
7155	12512
7155	12573
7155	12593
7155	12638
7155	12685
7155	12884
7155	12911
7155	13187
7155	13283
7155	13702
7155	13751
7155	13803
7155	13910
7155	13926
7155	14360
7155	14727
7155	15497
7155	15550
7155	15929
7155	16114
7155	18906
7155	20223
7206	2901
7439	3049
7439	4845
7439	7296
7439	7738
7439	8056
7439	8463
7439	9089
7439	9636
7439	10855
7439	10858
7439	12078
7439	13488
7439	14676
7439	14838
7439	15095
7439	18581
7441	3950
7441	4545
7441	7480
7441	8559
7441	8881
7441	10125
7487	794
7661	4029
7661	4394
7661	5684
7661	5882
7661	5931
7661	7980
7661	8993
7661	10465
7898	8419
7996	2127
7996	10756
8107	3973
8107	4048
8107	4392
8107	4562
8107	4596
8107	5116
8107	5251
8107	5502
8107	5534
8107	5895
8107	7093
8107	7097
8107	7351
8107	7354
8107	7414
8107	7428
8107	7450
8107	7467
8107	7485
8107	7530
8107	7536
8107	7728
8107	7882
8107	8442
8107	8493
8107	8570
8107	8573
8107	8576
8107	9012
8107	9190
8107	9234
8107	10280
8107	10978
8107	11720
8107	12491
8107	12599
8107	12739
8107	13393
8107	13641
8107	14515
8107	15204
8107	17156
8107	17364
8107	17521
8107	18946
8107	19630
8256	1503
8256	2368
8256	4058
8256	4423
8256	4559
8256	4899
8256	4984
8256	5071
8256	5467
8256	7572
8256	7629
8256	8396
8256	8550
8256	9360
8256	11038
8256	11200
8256	12259
8256	13650
8256	13985
