model_id,test,outcome,classification_definition,denominator,term,estimate,std_error,statistic,p_value,ci_low,ci_high,n_obs,r_squared,model_f_statistic_classical,nw_lag,inference,sample_dates
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_05,-7.98662241,16.66764896,-0.47916910,0.63181833,-40.65521436,24.68196954,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_06,-11.29101582,23.10467231,-0.48868972,0.62506138,-56.57617354,33.99414190,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_07,-14.77237258,31.77956216,-0.46483877,0.64204692,-77.06031442,47.51556925,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_08,-45.98807364,24.03046695,-1.91374033,0.05565334,-93.08778887,1.11164158,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_09,-22.94562761,31.13103991,-0.73706589,0.46108228,-83.96246583,38.07121062,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_10,15.36707539,35.89933587,0.42806016,0.66860732,-54.99562292,85.72977370,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_11,23.46416354,21.18853352,1.10739913,0.26812140,-18.06536215,64.99368924,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_lower_index,Test 3 lower partition,index_lower_pre_mean,LOWER_SENSITIVITY_COMPARISON,own pre-transition monthly mean,month_12,-39.59164778,19.56001007,-2.02411183,0.04295865,-77.92926751,-1.25402805,88,0.54609385,6.27329989,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,Intercept,124.95180998,23.47126451,5.32360793,0.00000010,78.94813154,170.95548842,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,Time,-0.15968025,0.22638279,-0.70535510,0.48058928,-0.60339052,0.28403001,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,PostJuly2024,19.80564012,40.16335686,0.49312711,0.62192278,-58.91453932,98.52581956,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,TimeAfterJuly2024,9.56238961,3.09493948,3.08968549,0.00200369,3.49630823,15.62847099,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_02,-21.19643439,28.74400531,-0.73742104,0.46086634,-77.53468479,35.14181601,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_03,16.08414271,25.40779269,0.63303975,0.52670769,-33.71513096,65.88341639,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_04,-35.14102731,37.91617569,-0.92680833,0.35402606,-109.45673167,39.17467705,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_05,-33.74542804,25.41830415,-1.32760344,0.18430915,-83.56530417,16.07444810,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_06,1.17299130,34.55132452,0.03394924,0.97291763,-66.54760475,68.89358736,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
test3_high_index,Test 3 high partition,index_high_pre_mean,HIGH_SENSITIVITY,own pre-transition monthly mean,month_07,-35.37507653,30.51140095,-1.15940519,0.24629106,-95.17742240,24.42726933,88,0.55225618,6.43140418,3,OLS Newey-West HAC,2019-01 through 2026-04
