application_id,application_title,application_pi,application_institution,project_start_date,project_start_month,project_start_year,project_start_quarter,post_july2024,analysis_eligible_start_date,primary_its_window_2019_2025,drop_recent_12m_sample,website_match_status,website_url,leak_strict_21,leak_main_27,leak_archived_broad_48,leak_final_expanded,linkage_confidence,linked_lineage_count,linked_family_count,linked_repo_count,linked_notice_count,linked_targeted_row_count,linked_lineages,linked_repo_urls,evidence_grades,count_notes
1105082,Organ- and tissue-specific physiological age models from UK Biobank multimodal data and their links to frailty and multimorbidity,,Fudan University,2026-01-14,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/organ-and-tissue-specific-physiological-age-models-from-uk-biobank-multimodal-data-and-their-links-to-frailty-and-multimorbidity/,0,0,0,0,,0,0,0,0,0,,,,
1105413,"Exploring How Multiple Environments Shape Cognitive, Mental, and Physical Health",,Beijing Forestry University,2025-11-19,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/exploring-how-multiple-environments-shape-cognitive-mental-and-physical-health/,0,0,0,0,,0,0,0,0,0,,,,
1106077,"Multidimensional Analysis of Body Fat Distribution, Lifestyle, and Genetic Susceptibility in Relation to Organ Health and Disease Risk",,Capital Medical University,2026-02-24,2026-02,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/multidimensional-analysis-of-body-fat-distribution-lifestyle-and-genetic-susceptibility-in-relation-to-organ-health-and-disease-risk/,0,0,0,0,,0,0,0,0,0,,,,
1106405,Association of Chronic Liver Injury-Induced aberrant hematopoiesis with Vascular Cognitive Impairment,,Shanghai Jiao Tong University School of Medicine.,2025-12-04,2025-12,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/association-of-chronic-liver-injury-induced-aberrant-hematopoiesis-with-vascular-cognitive-impairment/,0,0,0,0,,0,0,0,0,0,,,,
1107070,Risk factors and prognostic value of pericardial disease in cancer survivor.,,China-Japan Friendship Hospital,2026-04-10,2026-04,2026,2026Q2,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/risk-factors-and-prognostic-value-of-pericardial-disease-in-cancer-survivor/,0,0,0,0,,0,0,0,0,0,,,,
1107089,"Integrated Genomic, Transcriptomic, and Clinical Analysis of Metabolic Syndrome and Related Traits",,JW Pharmaceutical,2026-02-23,2026-02,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrated-genomic-transcriptomic-and-clinical-analysis-of-metabolic-syndrome-and-related-traits/,0,0,0,0,,0,0,0,0,0,,,,
1108389,"Integrating Lifestyle Behaviours, Polygenic Risk, and Digital Biomarkers to Predict Chronic Disease, Physical Function Decline, and Cognitive Impairment",,Shanghai University of Sport,2025-11-13,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/integrating-lifestyle-behaviours-polygenic-risk-and-digital-biomarkers-to-predict-chronic-disease-physical-function-decline-and-cognitive-impairment/,0,0,0,0,,0,0,0,0,0,,,,
1108406,Proteomics-first Foundation Model,,Sedona Health Inc,2025-11-21,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/proteomics-first-foundation-model/,0,0,0,0,,0,0,0,0,0,,,,
1108717,The Association Between Urological and Systemic Diseases: A Prospective Multi-omics Study Based on the UK Biobank,,Shandong Provincial Hospital,2026-01-06,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/the-association-between-urological-and-systemic-diseases-a-prospective-multi-omics-study-based-on-the-uk-biobank/,0,0,0,0,,0,0,0,0,0,,,,
1109072,dietary pattern modifies the risk of cancer through metabolomic and proteomic signature,,"Hangzhou Institute for Advanced Study,UCAS",2026-02-09,2026-02,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/dietary-pattern-modifies-the-risk-of-cancer-through-metabolomic-and-proteomic-signature/,0,0,0,0,,0,0,0,0,0,,,,
1109119,Construction of a Deep Learning - Based Brain Neural Aging Model for Healthy Individuals Using UK Biobank Neuroimaging Data,,Guangdong University of Technology,2026-03-26,2026-03,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/construction-of-a-deep-learning-based-brain-neural-aging-model-for-healthy-individuals-using-uk-biobank-neuroimaging-data/,0,0,0,0,,0,0,0,0,0,,,,
1109161,Exploring generative approaches for the optimization of patient care pathways from outpatient health data,,Doctolib.,2026-01-20,2026-01,2026,2026Q1,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/exploring-generative-approaches-for-the-optimization-of-patient-care-pathways-from-outpatient-health-data/,0,0,0,0,,0,0,0,0,0,,,,
1109709,"An Integrated Study of the Etiology, Risk Prediction, and Molecular Mechanisms of Orthopedic Diseases and Sports Injuries Using Epidemiological, Multi-omics, and Sports Medicine Approaches",,Xiamen University,2026-04-13,2026-04,2026,2026Q2,1,1,0,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/an-integrated-study-of-the-etiology-risk-prediction-and-molecular-mechanisms-of-orthopedic-diseases-and-sports-injuries-using-epidemiological-multi-omics-and-sports-medicine-approaches/,0,0,0,0,,0,0,0,0,0,,,,
1109721,"Biological Aging, Age-Related Diseases, and Lifestyle Interventions: Mechanisms, Patterns, and Prevention",,Shanghai Jiao Tong University School of Medicine.,2025-11-28,2025-11,2025,2025Q4,1,1,1,0,matched_one_website_record,https://www.ukbiobank.ac.uk/projects/biological-aging-age-related-diseases-and-lifestyle-interventions-mechanisms-patterns-and-prevention/,0,0,0,0,,0,0,0,0,0,,,,
