period,period_start,frequency,applications_started,post_july2024_period,exact_post_july2024_applications,strict_21_leakage_risk_applications,strict_21_leakage_rate,strict_21_leakage_rate_percent,main_27_leakage_risk_applications,main_27_leakage_rate,main_27_leakage_rate_percent,archived_broad_48_leakage_risk_applications,archived_broad_48_leakage_rate,archived_broad_48_leakage_rate_percent,final_expanded_leakage_risk_applications,final_expanded_leakage_rate,final_expanded_leakage_rate_percent
2016-11,2016-11-01,monthly,21,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.04761905,4.76190,1,0.04761905,4.76190
2016-12,2016-12-01,monthly,11,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.09090909,9.09091,1,0.09090909,9.09091
2017-01,2017-01-01,monthly,22,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017-02,2017-02-01,monthly,14,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017-03,2017-03-01,monthly,17,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.05882353,5.88235,1,0.05882353,5.88235
2017-04,2017-04-01,monthly,26,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017-05,2017-05-01,monthly,16,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017-06,2017-06-01,monthly,17,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017-07,2017-07-01,monthly,21,0,0,1,0.04761905,4.76190,1,0.04761905,4.76190,1,0.04761905,4.76190,1,0.04761905,4.76190
2017-08,2017-08-01,monthly,8,0,0,0,0.00000000,0.00000,1,0.12500000,12.50000,1,0.12500000,12.50000,1,0.12500000,12.50000
2017-09,2017-09-01,monthly,10,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017-10,2017-10-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,1,0.25000000,25.00000,1,0.25000000,25.00000
2017-11,2017-11-01,monthly,4,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
2017-12,2017-12-01,monthly,0,0,0,0,,,0,,,0,,,0,,
2018-01,2018-01-01,monthly,0,0,0,0,,,0,,,0,,,0,,
2018-02,2018-02-01,monthly,14,0,0,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000,0,0.00000000,0.00000
