application_id,application_title,project_start_date,start_month,start_quarter,start_month_number,Post,Time,TimeAfter,Leak52,Leak55
4372,GWAS on assoiations for hypertension,2014-03-01,2014-03-01,2014-01-01,3,0,21,0,0,0
4408,The genetics of multiple sclerosis in the UK,2015-06-01,2015-06-01,2015-04-01,6,0,36,0,0,0
4477,Identification and characterisation of naturally-occurring human gene knockouts.,2016-06-01,2016-06-01,2016-04-01,6,0,48,0,0,0
4483,Identification of modifiable and non-modifiable correlates of sedentary behaviours and physical activity in adults aged =65 years,2014-05-07,2014-05-01,2014-04-01,5,0,23,0,0,0
4580,"Heel bone properties and fracture outcomes: Correlates, gene-environment interactions, and implications for fracture risk assessment.",2015-07-01,2015-07-01,2015-07-01,7,0,37,0,0,0
4669,Performance and improvement of lung cancer risk prediction models,2013-12-01,2013-12-01,2013-10-01,12,0,18,0,0,0
4800,"Early life influences on cerebral small vessel disease, stroke and dementia in later life.",2015-07-13,2015-07-01,2015-07-01,7,0,37,0,0,0
4816,Genetic determinants of Paget's disease,2018-04-24,2018-04-01,2018-04-01,4,0,70,0,0,0
4844,STratifying Resilience and Depression Longitudinally (STRADL),2014-09-27,2014-09-01,2014-07-01,9,0,27,0,0,0
4892,"Genetic determinants of smoking, smoking cessation success and pharmacogenetics of cessation therapies",2015-01-12,2015-01-01,2015-01-01,1,0,31,0,0,0
4939,Estimation of the genetic correlation among human cancers and correlated intermediate traits and identification of pleiotropic cancer loci,2015-05-01,2015-05-01,2015-04-01,5,0,35,0,0,0
5122,Risk factors for early menopause and association with type 2 diabetes and cardiovascular disease,2013-10-01,2013-10-01,2013-10-01,10,0,16,0,0,0
5167,The role of serum-based small molecule antioxidants in preventing and predicting age-related phenotypes and respiratory cancer,2018-07-05,2018-07-01,2018-07-01,7,0,73,0,0,0
5179,"Air Pollution, Noise and Cardio-respiratory diseases-BioSHaRE Environmental Core Project",2014-01-06,2014-01-01,2014-01-01,1,0,19,0,0,0
5180,"The associations between physical activity, sedentary behaviour and muscle strength",2014-07-01,2014-07-01,2014-07-01,7,0,25,0,0,0
5216,Fuelling health equity? The impact of the Winter Fuel Payment on the health of UK households.,2015-12-14,2015-12-01,2015-10-01,12,0,42,0,0,0
5237,The morbidity burden of giant cell arteritis and polymyalgia rheumatica,2015-02-27,2015-02-01,2015-01-01,2,0,32,0,0,0
5339,Development and validation of risk prediction model for prostate cancer,2014-09-01,2014-09-01,2014-07-01,9,0,27,0,0,0
5445,The association between peripheral blood myeloid:lymphoid subsets and long term survival,2016-02-01,2016-02-01,2016-01-01,2,0,44,0,0,0
5608,Investigating the distribution and determinants of intraocular pressure in the aetiology of glaucoma,2013-12-01,2013-12-01,2013-10-01,12,0,18,0,0,0
5791,Development and validation of risk prediction model for breast and ovarian cancers,2014-09-01,2014-09-01,2014-07-01,9,0,27,0,0,0
5855,Development and validation of risk prediction model for osteoarthritis,2015-08-31,2015-08-01,2015-07-01,8,0,38,0,0,0
5864,Development and validation of risk prediction model for dementia,2014-09-01,2014-09-01,2014-07-01,9,0,27,0,0,0
5974,Development and validation of risk prediction models for cancer.,2015-05-02,2015-05-01,2015-04-01,5,0,35,0,0,0
6077,Telomere length measurement in UK Biobank: advancing understanding of biological ageing and age-related diseases,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
6326,Women?s reproductive health and chronic disease,2014-08-01,2014-08-01,2014-07-01,8,0,26,0,0,0
6342,Identifying variant/tissue interactions in age-related diseases,2016-06-01,2016-06-01,2016-04-01,6,0,48,0,0,0
6507,Developing the potential of UK Biobank Retinal Photographs and OCT Scans: Grading of images by NetwORC UK for The UK Biobank Eye and Vision Consortium,2015-07-01,2015-07-01,2015-07-01,7,0,37,0,0,0
6553,Genome-wide association studies of mental health.,2014-10-01,2014-10-01,2014-10-01,10,0,28,0,0,0
6569,Organ specific fat measurements using MRI. A new quantitative imaging method with automated analysis.,2014-07-01,2014-07-01,2014-07-01,7,0,25,0,0,0
6684,The genetic and environmental contributions to human longevity,2015-08-01,2015-08-01,2015-07-01,8,0,38,0,0,0
6728,A genomewide association study of autoimmunity,2015-05-01,2015-05-01,2015-04-01,5,0,35,0,0,0
6763,Phenome-wide association study and prediction of two-years mortality,2014-03-01,2014-03-01,2014-01-01,3,0,21,0,0,0
6818,Sleep and chronotype and their causal links with cardiometabolic and chronic inflammatory diseases,2015-03-15,2015-03-01,2015-01-01,3,0,33,0,0,0
6989,Epidemiology of Ankylosing Spondylitis,2014-07-01,2014-07-01,2014-07-01,7,0,25,0,0,0
7036,Understanding how maternal and fetal genetic and environmental factors influence offspring birth weight,2014-04-01,2014-04-01,2014-04-01,4,0,22,0,0,0
7089,Exome Sequencing of All Premature Coronary Artery Disease Participants in UK Biobank,2015-01-01,2015-01-01,2015-01-01,1,0,31,0,0,0
7140,CCL3L1 and CCR5 delta 32 CNV study in extremes of the lung function distribution in smokers,2014-09-01,2014-09-01,2014-07-01,9,0,27,0,0,0
7155,"Epidemiology of mental health, cognitive function, pain and cardiometabolic disease.",2014-06-01,2014-06-01,2014-04-01,6,0,24,0,0,0
7206,The MC1R Gene: Red Hair and Other Characteristics,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
7439,"Comparissons of measures of adiposity including body-mass index, waist-circumference, waist-to-hip ratio, and percentage body fat mass",2013-09-01,2013-09-01,2013-07-01,9,0,15,0,0,0
7441,"Investigation of genetic, environment and gene ? environment interaction in colorectal cancer risk and survival",2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
7487,"Elevated plasma levels of Cthrc1 in subjects with red hair: What are the consequences for bone, liver, vascular disease, diabetes and muscle?",2014-07-15,2014-07-01,2014-07-01,7,0,25,0,0,0
7661,"Chronic disease outcomes across the glycaemic spectrum: harnessing UK Biobank and linked eHealth data to quantify risks, explore mechanisms and determine treatment impacts.",2015-01-01,2015-01-01,2015-01-01,1,0,31,0,0,0
7898,Genome-wide association studies of cognitive function.,2015-12-01,2015-12-01,2015-10-01,12,0,42,0,0,0
7908,A genetic study of human cognitive function and age-related cognitive decline,2014-12-01,2014-12-01,2014-10-01,12,0,30,0,0,0
7996,Co-morbidities and risk factors of inflammatory rheumatological conditions,2015-01-01,2015-01-01,2015-01-01,1,0,31,0,0,0
8009,"Understanding the links between inflammation and depression, and the potential roles of sociodemographic and other non-genetic factors in mediating or moderating this association.",2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
8107,Analysis of Biobank Neuro Imaging Data,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
8256,Understanding genetic influences in the response of the cardiac electrical system to exercise,2015-01-01,2015-01-01,2015-01-01,1,0,31,0,0,0
8260,Using Mendelian randomization to evaluate the causal effect of disease related biomarkers on clinical outcomes,2015-09-01,2015-09-01,2015-07-01,9,0,39,0,0,0
8294,Identifying environmental and genetic risk factors for endometrial cancer subtypes,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
8304,"Genetics of human lifespan ? heritability, association and prediction",2014-12-15,2014-12-01,2014-10-01,12,0,30,0,0,0
8343,Gene-Lifestyle interactions in cardiometabolic disease traits,2017-05-01,2017-05-01,2017-04-01,5,0,59,0,0,0
8370,Genome-wide association studies of hypertension and the overlap with mood disorders.,2015-10-01,2015-10-01,2015-10-01,10,0,40,0,0,0
8389,Genetics of Severe Asthma and Idiopathic Pulmonary Fibrosis,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
8447,The genetic architecture and prediction of anthropomorphic measurements,2014-09-01,2014-09-01,2014-07-01,9,0,27,0,0,0
8508,Development of a risk prediction model for colorectal cancer,2016-01-04,2016-01-01,2016-01-01,1,0,43,0,0,0
8614,Evaluating genome-wide association and gene-environment interaction in colorectal cancer,2016-11-01,2016-11-01,2016-10-01,11,0,53,0,0,0
8764,The epidemiology of liver disease in a population-based cohort.,2015-07-01,2015-07-01,2015-07-01,7,0,37,0,0,0
8786,"The causal effects of education on behavioural risk factors, morbidity and all-cause and cause-specific mortality: evidence from the 500,000 participants of the UK biobank.",2015-02-02,2015-02-01,2015-01-01,2,0,32,0,0,0
8835,"Investigation of the causal association between vascular risk factors, cognitive function and dementia using genetic instruments",2014-12-15,2014-12-01,2014-10-01,12,0,30,0,0,0
8874,Statistical methods to study the interplay between genetic and lifestyle factors using large-scale genetic data and a wide variety of lifestyle factors.,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
9055,The Genetics of type 2 diabetes aetiology and progression,2015-01-05,2015-01-01,2015-01-01,1,0,31,0,0,0
9072,"The Genetics of anthropometric traits ? Height, weight, BMI and waist circumference",2015-01-05,2015-01-01,2015-01-01,1,0,31,0,0,0
9119,Determinants and health impact of atrial fibrillation in men and women,2014-09-30,2014-09-01,2014-07-01,9,0,27,0,0,0
9126,Extracting Meaningful Health Information from Raw Accelerometer Data in UK Biobank,2014-10-13,2014-10-01,2014-10-01,10,0,28,0,0,0
9142,Using Mendelian Randomisation to investigate the causal effects of caffeine and smoking on health outcomes.,2015-04-01,2015-04-01,2015-04-01,4,0,34,0,0,0
9161,Type 2 diabetes: using genetic discovery to drive biological inference and translational opportunities.,2015-04-30,2015-04-01,2015-04-01,4,0,34,0,0,0
9174,Genetic Exploration of PreEclampsia and Gestational Hypertension in UK Biobank,2016-04-15,2016-04-01,2016-04-01,4,0,46,0,0,0
9188,"Associations between neighbourhood takeaway food environments, consumption of takeaway food and body weight.",2017-02-01,2017-02-01,2017-01-01,2,0,56,0,0,0
9310,Associations of blood biomarkers with cardiovascular disease and related cardiometabolic outcomes and risk prediction in the clinical setting,2016-06-01,2016-06-01,2016-04-01,6,0,48,0,0,0
9462,Vitamin D and neurocognitive dysfunction: new insights from environmental and genetic factors,2016-01-02,2016-01-01,2016-01-01,1,0,43,0,0,0
