start_month,n_applications,observed_events,observed_rate,fitted_rate,outcome,outcome_label
2016-10-01,14,1,0.07142857142857142,0.009488145818610018,Leak55,Broad 55 attribution outcome
2016-11-01,21,1,0.047619047619047616,0.02256452240481914,Leak55,Broad 55 attribution outcome
2016-12-01,11,1,0.09090909090909091,0.012347501717256083,Leak55,Broad 55 attribution outcome
2017-01-01,22,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2017-02-01,14,0,0.0,0.022436815352166104,Leak55,Broad 55 attribution outcome
2017-03-01,17,1,0.058823529411764705,0.0308131659017088,Leak55,Broad 55 attribution outcome
2017-04-01,26,0,0.0,0.022662741708718674,Leak55,Broad 55 attribution outcome
2017-05-01,16,0,0.0,0.02172155510204789,Leak55,Broad 55 attribution outcome
2017-06-01,17,0,0.0,0.016452802171936707,Leak55,Broad 55 attribution outcome
2017-07-01,21,1,0.047619047619047616,0.011465834957319572,Leak55,Broad 55 attribution outcome
2017-08-01,8,1,0.125,0.03092423804088767,Leak55,Broad 55 attribution outcome
2017-09-01,10,0,0.0,0.026269496001652175,Leak55,Broad 55 attribution outcome
2017-10-01,4,1,0.25,0.008216516617840414,Leak55,Broad 55 attribution outcome
2017-11-01,4,0,0.0,0.019540358765269224,Leak55,Broad 55 attribution outcome
2018-02-01,14,0,0.0,0.01942976738731201,Leak55,Broad 55 attribution outcome
2018-03-01,20,0,0.0,0.026683494807076397,Leak55,Broad 55 attribution outcome
2018-04-01,19,1,0.05263157894736842,0.019625414429264226,Leak55,Broad 55 attribution outcome
2018-05-01,14,0,0.0,0.018810368419006743,Leak55,Broad 55 attribution outcome
2018-06-01,27,0,0.0,0.014247749248394557,Leak55,Broad 55 attribution outcome
2018-07-01,38,0,0.0,0.009929150043146486,Leak55,Broad 55 attribution outcome
2018-08-01,25,1,0.04,0.026779680731575176,Leak55,Broad 55 attribution outcome
2018-09-01,43,1,0.023255813953488372,0.022748780906856635,Leak55,Broad 55 attribution outcome
2018-10-01,40,0,0.0,0.0071153149015513156,Leak55,Broad 55 attribution outcome
2018-11-01,44,0,0.0,0.016921502428692507,Leak55,Broad 55 attribution outcome
2018-12-01,32,0,0.0,0.009259592405652274,Leak55,Broad 55 attribution outcome
2019-01-01,40,0,0.0,0.0,Leak55,Broad 55 attribution outcome
2019-02-01,40,0,0.0,0.01682573283238287,Leak55,Broad 55 attribution outcome
2019-03-01,52,1,0.019230769230769232,0.02310729437509007,Leak55,Broad 55 attribution outcome
2019-04-01,35,1,0.02857142857142857,0.016995158682508265,Leak55,Broad 55 attribution outcome
2019-05-01,60,2,0.03333333333333333,0.016289347535039404,Leak55,Broad 55 attribution outcome
2019-06-01,33,0,0.0,0.012338224001220815,Leak55,Broad 55 attribution outcome
2019-07-01,50,1,0.02,0.008598416159512139,Leak55,Broad 55 attribution outcome
2019-08-01,27,0,0.0,0.02319058917917038,Leak55,Broad 55 attribution outcome
2019-09-01,31,3,0.0967741935483871,0.0196999224010852,Leak55,Broad 55 attribution outcome
2019-10-01,43,0,0.0,0.006161699477161772,Leak55,Broad 55 attribution outcome
2019-11-01,52,2,0.038461538461538464,0.01465363291861247,Leak55,Broad 55 attribution outcome
