website_page,website_index_on_page,website_start_date,website_start_date_text,website_title,website_institution,website_url,match_status,candidate_app_ids,detail_fetch_status,detail_title,detail_app_id,detail_start_date_text,detail_start_date_iso_guess,detail_status,detail_pi,detail_institution,start_date_matches_listing,error
60,1,2025-11-28,28 November 2025,Neuroscience Self-Supervised Learning for Discovery of Gene-Brain Mechanisms in Alzheimer’s Disease,"Singapore University of Technology and Design, Singapore",https://www.ukbiobank.ac.uk/projects/neuroscience-self-supervised-learning-for-discovery-of-gene-brain-mechanisms-in-alzheimers-disease/,no_schema27_title_match,,ok,Neuroscience Self-Supervised Learning for Discovery of Gene-Brain Mechanisms in Alzheimer’s Disease,1067795,28 November 2025,2025-11-28,Current,Mr Sean Chen Jiale,"Singapore University of Technology and Design, Singapore",true,
60,3,2025-11-28,28 November 2025,Developing digital sleep-wake biomarkers for early detection of Alzheimer’s disease and related dementias,"Sun Yat-Sen University, China",https://www.ukbiobank.ac.uk/projects/developing-digital-sleep-wake-biomarkers-for-early-detection-of-alzheimers-disease-and-related-dementias/,no_schema27_title_match,,ok,Developing digital sleep-wake biomarkers for early detection of Alzheimer’s disease and related dementias,1007404,28 November 2025,2025-11-28,Current,Professor Jing Liao,"Sun Yat-Sen University, China",true,
60,8,2025-11-26,26 November 2025,Vascular and lifestyle determinants of dementia in Parkinson’s disease: A UK and Single-Center Chinese Cohort Comparison.,"Xuzhou Medical University, China",https://www.ukbiobank.ac.uk/projects/vascular-and-lifestyle-determinants-of-dementia-in-parkinsons-disease-a-uk-and-single-center-chinese-cohort-comparison/,no_schema27_title_match,,ok,Vascular and lifestyle determinants of dementia in Parkinson’s disease: A UK and Single-Center Chinese Cohort Comparison.,1043373,26 November 2025,2025-11-26,Current,Miss Shalom Agunbiade,"Xuzhou Medical University, China",true,
70,6,2025-11-10,10 November 2025,Identifying variation in the sequence of longevity associated PTM’s and its correlation with health status.,"Bar Ilan University, Israel",https://www.ukbiobank.ac.uk/projects/identifying-variation-in-the-sequence-of-longevity-associated-ptms-and-its-correlation-with-health-status/,no_schema27_title_match,,ok,Identifying variation in the sequence of longevity associated PTM’s and its correlation with health status.,983006,10 November 2025,2025-11-10,Current,Professor Haim Yosef Cohen,"Bar Ilan University, Israel",true,
76,5,2025-10-30,30 October 2025,Determinants of women’s health and cancer outcomes: a multi-omics study in the UK Biobank,"Obstetrics and Gynecology Hospital of Fudan University, China",https://www.ukbiobank.ac.uk/projects/determinants-of-womens-health-and-cancer-outcomes-a-multi-omics-study-in-the-uk-biobank/,no_schema27_title_match,,ok,Determinants of women’s health and cancer outcomes: a multi-omics study in the UK Biobank,1079350,30 October 2025,2025-10-30,Current,Dr Xin Wu,"Obstetrics and Gynecology Hospital of Fudan University, China",true,
83,3,2025-10-12,12 October 2025,A Two-Stage Polygenic Risk Score and Mendelian Randomization Study to Decipher the Shared Genetic Architecture between Cerebrovascular Disease and Alzheimer’s Dementia.,"Wenzhou People's Hospital, China",https://www.ukbiobank.ac.uk/projects/a-two-stage-polygenic-risk-score-and-mendelian-randomization-study-to-decipher-the-shared-genetic-architecture-between-cerebrovascular-disease-and-alzheimers-dementia/,no_schema27_title_match,,ok,A Two-Stage Polygenic Risk Score and Mendelian Randomization Study to Decipher the Shared Genetic Architecture between Cerebrovascular Disease and Alzheimer’s Dementia.,1024568,12 October 2025,2025-10-12,Current,Ms Zheng Tu,"Wenzhou People's Hospital, China",true,
88,8,2025-09-28,28 September 2025,DIAGNOSIS AND STAGE CLASSIFICATION OF PARKINSON’S DISEASE USING ARTIFICIAL INTELLIGENCE APPLIED TO RR TIME SERIES AND HEART RATE VARIABILITY,"Catholic University of Maule, Chile",https://www.ukbiobank.ac.uk/projects/diagnosis-and-stage-classification-of-parkinsons-disease-using-artificial-intelligence-applied-to-rr-time-series-and-heart-rate-variability/,no_schema27_title_match,,ok,DIAGNOSIS AND STAGE CLASSIFICATION OF PARKINSON’S DISEASE USING ARTIFICIAL INTELLIGENCE APPLIED TO RR TIME SERIES AND HEART RATE VARIABILITY,660262,28 September 2025,2025-09-28,Current,Dr Antonio Roberto Zamuner,"Catholic University of Maule, Chile",true,
92,1,2025-09-26,26 September 2025,UK Biobank Parkinson’s Disease Sleep Disorders Study: Epidemiological Characteristics and Multifactorial Associations – A Retrospective Database Analysis,"Huazhong University of Science and Technology, China",https://www.ukbiobank.ac.uk/projects/uk-biobank-parkinsons-disease-sleep-disorders-study-epidemiological-characteristics-and-multifactorial-associations-a-retrospective-database-analysis/,no_schema27_title_match,,ok,UK Biobank Parkinson’s Disease Sleep Disorders Study: Epidemiological Characteristics and Multifactorial Associations – A Retrospective Database Analysis,993920,26 September 2025,2025-09-26,Current,Dr Hanshu Liu,"Huazhong University of Science and Technology, China",true,
95,2,2025-09-19,19 September 2025,AI-based Detection of Early Signs of Alzheimer’s Disease Using Retinal Fundus Images,"Fundação Escola Tecnica Liberato Salzano Vieira da Cunha, Brazil",https://www.ukbiobank.ac.uk/projects/ai-based-detection-of-early-signs-of-alzheimers-disease-using-retinal-fundus-images/,no_schema27_title_match,,ok,AI-based Detection of Early Signs of Alzheimer’s Disease Using Retinal Fundus Images,915007,19 September 2025,2025-09-19,Current,Mrs Kamily Eduarda da Silva,"Fundação Escola Tecnica Liberato Salzano Vieira da Cunha, Brazil",true,
96,1,2025-09-18,18 September 2025,"A Multimodal Data-Driven Study on the Clinical and Mechanistic Associations Between Life’s Essential 9 with Sarcopenia, Frailty, and Age-Related Cardiovascular Diseases","Fuwai Hospital Chinese Academy of Medical Sciences, China",https://www.ukbiobank.ac.uk/projects/a-multimodal-data-driven-study-on-the-clinical-and-mechanistic-associations-between-lifes-essential-9-with-sarcopenia-frailty-and-age-related-cardiovascular-diseases/,no_schema27_title_match,,ok,"A Multimodal Data-Driven Study on the Clinical and Mechanistic Associations Between Life’s Essential 9 with Sarcopenia, Frailty, and Age-Related Cardiovascular Diseases",862905,18 September 2025,2025-09-18,Current,Dr Xiaoyao Li,"Fuwai Hospital Chinese Academy of Medical Sciences, China",true,
115,2,2025-08-05,5 August 2025,Causal Effect of Poor Oral Health on Dementia and Alzheimer’s Disease: An Instrumental Variable Approach.,"Princeton Pharmatech LLC, United States of America",https://www.ukbiobank.ac.uk/projects/causal-effect-of-poor-oral-health-on-dementia-and-alzheimers-disease-an-instrumental-variable-approach/,no_schema27_title_match,,ok,Causal Effect of Poor Oral Health on Dementia and Alzheimer’s Disease: An Instrumental Variable Approach.,918963,5 August 2025,2025-08-05,Current,Dr Hyun Ja Lim,"Princeton Pharmatech LLC, United States of America",true,
115,6,2025-08-04,4 August 2025,A lifecourse approach to women’s health: utilising pregnancy as an opportunity to prevent ill health,"University College London, Great Britain",https://www.ukbiobank.ac.uk/projects/a-lifecourse-approach-to-womens-health-utilising-pregnancy-as-an-opportunity-to-prevent-ill-health/,no_schema27_title_match,,ok,A lifecourse approach to women’s health: utilising pregnancy as an opportunity to prevent ill health,708764,4 August 2025,2025-08-04,Current,Dr Julia Zollner,"University College London, Great Britain",true,
118,10,2025-07-29,29 July 2025,The Impact of Gait Disturbance on Neuroimaging and Plasma Biomarkers of Alzheimer’s Disease,"Johns Hopkins University, United States of America",https://www.ukbiobank.ac.uk/projects/the-impact-of-gait-disturbance-on-neuroimaging-and-plasma-biomarkers-of-alzheimers-disease/,no_schema27_title_match,,ok,The Impact of Gait Disturbance on Neuroimaging and Plasma Biomarkers of Alzheimer’s Disease,760913,29 July 2025,2025-07-29,Current,Dr Matthew E Peters,"Johns Hopkins University, United States of America",true,
119,6,2025-07-29,29 July 2025,Biological correlates of brain aging in healthy adults and adults at risk for Alzheimer’s disease and related dementias,"George Mason Research Foundation, United States of America",https://www.ukbiobank.ac.uk/projects/biological-correlates-of-brain-aging-in-healthy-adults-and-adults-at-risk-for-alzheimers-disease-and-related-dementias/,no_schema27_title_match,,ok,Biological correlates of brain aging in healthy adults and adults at risk for Alzheimer’s disease and related dementias,343478,29 July 2025,2025-07-29,Current,Dr Mohammad Fili,"George Mason Research Foundation, United States of America",true,
124,1,2025-07-23,23 July 2025,The Genetics and Biochemistry of Women’s Reproductive Conditions,"University of Otago, New Zealand",https://www.ukbiobank.ac.uk/projects/the-genetics-and-biochemistry-of-womens-reproductive-conditions/,no_schema27_title_match,,ok,The Genetics and Biochemistry of Women’s Reproductive Conditions,796208,23 July 2025,2025-07-23,Current,Dr Emma Mary Wade,"University of Otago, New Zealand",true,
125,1,2025-07-23,23 July 2025,Integrating Multi-omics and Longitudinal Data Reveals Potential Molecular Linkages Between m6A Modification and Alzheimer’s Disease,"Harbin Medical University, China",https://www.ukbiobank.ac.uk/projects/integrating-multi-omics-and-longitudinal-data-reveals-potential-molecular-linkages-between-m6a-modification-and-alzheimers-disease/,no_schema27_title_match,,ok,Integrating Multi-omics and Longitudinal Data Reveals Potential Molecular Linkages Between m6A Modification and Alzheimer’s Disease,826245,23 July 2025,2025-07-23,Current,Dr Dayong Wang,"Harbin Medical University, China",true,
126,4,2025-07-22,22 July 2025,Predicting the conversion of mild cognitive impairment to Alzheimer’s disease using feature engineering and deep learning on structural magnetic resonance images,"Universidade Federal de São Carlos, Brazil",https://www.ukbiobank.ac.uk/projects/predicting-the-conversion-of-mild-cognitive-impairment-to-alzheimers-disease-using-feature-engineering-and-deep-learning-on-structural-magnetic-resonance-images/,no_schema27_title_match,,ok,Predicting the conversion of mild cognitive impairment to Alzheimer’s disease using feature engineering and deep learning on structural magnetic resonance images,270849,22 July 2025,2025-07-22,Current,Dr Ricardo José Ferarri,"Universidade Federal de São Carlos, Brazil",true,
131,8,2025-07-09,9 July 2025,Decoding Cardio-Renal Crosstalk in Coronary Artery Disease Using UK Biobank’s Multi-Organ Imaging and Multi-Omics Data,"Tianjin University of Traditional Chinese Medicine, China",https://www.ukbiobank.ac.uk/projects/decoding-cardio-renal-crosstalk-in-coronary-artery-disease-using-uk-biobanks-multi-organ-imaging-and-multi-omics-data/,no_schema27_title_match,,ok,Decoding Cardio-Renal Crosstalk in Coronary Artery Disease Using UK Biobank’s Multi-Organ Imaging and Multi-Omics Data,778385,9 July 2025,2025-07-09,Current,Dr Boxuan Feng,"Tianjin University of Traditional Chinese Medicine, China",true,
132,2,2025-07-04,4 July 2025,"Disentangling the role of insulin resistance in diabetes, cardiometabolic disease and cancer to find new therapeutic targets","University of California, San Diego, United States of America",https://www.ukbiobank.ac.uk/projects/disentangling-the-role-of-insulin-resistance-in-diabetes-cardiometabolic-disease-and-cancer-to-find-new-therapeutic-targets-2/,ambiguous_duplicate_title,51436|193976,ok,"Disentangling the role of insulin resistance in diabetes, cardiometabolic disease and cancer to find new therapeutic targets",193976,4 July 2025,2025-07-04,Current,Dr Amit Majithia,"University of California, San Diego, United States of America",true,
