issue_type,app_id,pub_id,publication_date,project_start_date,date_pub_raw,year_pub,details
after_main_complete_panel_window,132578,20490,2026-07-01,2024-10-08,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,138512,20317,2026-07-10,2024-10-03,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,144904,20493,2026-07-01,2024-01-04,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,147093,20261,2026-07-16,2024-01-26,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,148742,20474,2026-07-01,2023-11-21,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,148885,20440,2026-07-03,2024-01-04,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,150455,20492,2026-07-01,2024-10-17,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,170605,20437,2026-07-03,2024-04-10,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,194423,13652,2024-09-17,2024-10-30,2024-09-17,2024,excluded_from_panel_event_counts
after_main_complete_panel_window,194423,20426,2026-07-06,2024-10-30,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,194423,20433,2026-07-04,2024-10-30,2026-07-04,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,194423,20461,2026-07-02,2024-10-30,2026-07-02,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,202239,14180,2024-11-22,2024-12-04,2024-11-22,2024,excluded_from_panel_event_counts
after_main_complete_panel_window,206552,20365,2026-07-14,2024-10-03,2026-07-14,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,206552,20429,2026-07-04,2024-10-03,2026-07-04,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,206612,20340,2026-07-16,2024-11-22,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,211772,20447,2026-07-03,2024-10-03,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,211772,20482,2026-07-01,2024-10-03,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,226023,12925,2024-01-01,2025-07-25,2024-01-01,2024,excluded_from_panel_event_counts
after_main_complete_panel_window,232231,20290,2026-07-13,2025-08-19,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,249728,20295,2026-07-13,2024-10-09,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,276785,20448,2026-07-03,2024-12-18,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,347405,20486,2026-07-01,2024-11-25,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,363248,20366,2026-07-13,2024-10-24,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,378095,20308,2026-07-11,2024-10-24,2026-07-11,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,406475,20329,2026-07-09,2024-11-29,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,419342,20325,2026-07-10,2024-10-07,2026-07-10,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,420999,15373,2025-05-14,2025-08-18,2025-05-14,2025,excluded_from_panel_event_counts
after_main_complete_panel_window,420999,20288,2026-07-13,2025-08-18,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,471488,20384,2026-07-07,2025-01-10,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,471488,20445,2026-07-03,2025-01-10,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,473136,20307,2026-07-11,2024-10-30,2026-07-11,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,524293,16140,2025-07-18,2025-08-12,2025-07-18,2025,excluded_from_panel_event_counts
after_main_complete_panel_window,524293,20476,2026-07-01,2025-08-12,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,528902,20484,2026-07-01,2025-01-09,2026-07-01,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,531620,20330,2026-07-09,2025-06-12,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,532351,20335,2026-07-09,2025-04-05,2026-07-09,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,564893,20425,2026-07-06,2025-10-21,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,569503,20441,2026-07-03,2025-07-15,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,578405,20263,2026-07-16,2025-01-22,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,592266,20427,2026-07-06,2025-04-30,2026-07-06,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,597582,20438,2026-07-03,2025-03-04,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
publication_before_project_start,622952,18694,2023-01-01,2025-03-24,2023-01-01,2023,excluded_from_panel_event_counts
after_main_complete_panel_window,627915,20410,2026-07-08,2025-04-21,2026-07-08,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,629227,20385,2026-07-07,2025-02-19,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,657275,20270,2026-07-15,2025-02-24,2026-07-15,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,742419,20296,2026-07-13,2025-04-17,2026-07-13,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,747364,20283,2026-07-14,2025-06-24,2026-07-14,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,772449,20411,2026-07-07,2025-06-27,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,775083,20267,2026-07-16,2025-04-20,2026-07-16,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,965504,20455,2026-07-03,2025-09-04,2026-07-03,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,1002466,20304,2026-07-12,2025-11-05,2026-07-12,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,1034464,20432,2026-07-04,2025-09-28,2026-07-04,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,1099827,20386,2026-07-07,2026-01-03,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
after_main_complete_panel_window,1126547,20412,2026-07-07,2026-01-21,2026-07-07,2026,excluded_from_main_quarterly_monthly_window
