app_id,period,period_start,period_end,publication_count,any_publication,project_start_date,p1_existing_project_sample,original_stage3_classification,control_layer,regression_group_CONTROL_C0,regression_group_CONTROL_C01,regression_group_CONTROL_C03,regression_group_CONTROL_C05
2964,pre24,2022-07-05,2024-07-04,28,1,2015-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
2964,post24,2024-07-05,2026-07-04,23,1,2015-09-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3028,pre24,2022-07-05,2024-07-04,0,0,2017-04-03,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3028,post24,2024-07-05,2026-07-04,0,0,2017-04-03,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3037,pre24,2022-07-05,2024-07-04,0,0,2013-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3037,post24,2024-07-05,2026-07-04,0,0,2013-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3071,pre24,2022-07-05,2024-07-04,0,0,2015-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3071,post24,2024-07-05,2026-07-04,0,0,2015-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3139,pre24,2022-07-05,2024-07-04,0,0,2013-09-16,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3139,post24,2024-07-05,2026-07-04,0,0,2013-09-16,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3173,pre24,2022-07-05,2024-07-04,0,0,2017-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3173,post24,2024-07-05,2026-07-04,0,0,2017-03-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3224,pre24,2022-07-05,2024-07-04,0,0,2014-07-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
3224,post24,2024-07-05,2026-07-04,0,0,2014-07-01,1,UNCLEAR,,excluded_unclear,excluded_unclear,excluded_unclear,excluded_unclear
3248,pre24,2022-07-05,2024-07-04,1,1,2013-06-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3248,post24,2024-07-05,2026-07-04,0,0,2013-06-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3282,pre24,2022-07-05,2024-07-04,0,0,2013-06-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3282,post24,2024-07-05,2026-07-04,0,0,2013-06-30,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3398,pre24,2022-07-05,2024-07-04,0,0,2014-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3398,post24,2024-07-05,2026-07-04,0,0,2014-01-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3474,pre24,2022-07-05,2024-07-04,0,0,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3474,post24,2024-07-05,2026-07-04,0,0,2014-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3501,pre24,2022-07-05,2024-07-04,0,0,2015-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3501,post24,2024-07-05,2026-07-04,0,0,2015-10-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3572,pre24,2022-07-05,2024-07-04,0,0,2013-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
3572,post24,2024-07-05,2026-07-04,0,0,2013-07-01,1,NEWLY_RAP_BOUND,,treated,treated,treated,treated
